,Celltype,Surface_Protein,Gene Names
0,Mono,CLEC12A,CLEC12A CLL1 DCAL2 KLRL1 MICL
1,Mono,CD86,CD86 CD28LG2
2,Mono,CD64,FCGR1A FCG1 FCGR1 IGFR1
3,Mono,CD155,PVR PVS
4,Mono,CD11c,ITGAX CD11C
5,Mono,CD11b-2,
6,Mono,CD93,CD93 C1QR1 MXRA4
7,Mono,CD172a,SIRPA BIT MFR MYD1 PTPNS1 SHPS1 SIRP
8,Mono,CD31,PECAM1
9,Mono,CD18,ITGB2 CD18 MFI7
10,Mono,CD11b-1,
11,Mono,CD14,CD14
12,Mono,CD13,ANPEP APN CD13 PEPN
13,CD4 T,CD4-1,
14,Mono,CD36,CD36 GP3B GP4
15,Mono,CD36,SCARB1 CD36L1 CLA1
16,Mono,CD36,SCARB2 CD36L2 LIMP2 LIMPII
17,Mono,CD63,CD63 MLA1 TSPAN30
18,Mono,CD55,CD55 CR DAF
19,Mono,CD119,IFNGR1
20,Mono,CD9,CD9 MIC3 TSPAN29 GIG2
21,Mono,CD9,PTGFRN CD9P1 EWIF FPRP KIAA1436
22,Mono,CD41,ITGA2B GP2B ITGAB
23,Mono,CD62P,SELP GMRP GRMP
24,CD4 T,CD4-2,
25,CD4 T,CD109,CD109 CPAMD7
26,CD8 T,CD8a,CD8A MAL
27,CD8 T,CD8,CD8B CD8B1
28,CD8 T,CD8,CD8A MAL
29,CD8 T,CD8,CD8B2 CD8BP
30,CD4 T,CD3-2,
31,CD4 T,CD28,CD28
32,CD4 T,CD28,TMIGD2 CD28H IGPR1 UNQ3059/PRO9879
33,CD4 T,CD3-1,
34,CD4 T,CD127,IL7R
35,NK,CD56-2,
36,CD4 T,CD27,CD27 TNFRSF7
37,CD4 T,CD27,CD70 CD27L CD27LG TNFSF7
38,CD4 T,CD27,SIVA1 SIVA
39,CD4 T,CD278,ICOS AILIM
40,CD4 T,TCR-2,
41,CD8 T,CD314,KLRK1 D12S2489E NKG2D
42,B,CD19,CD19
43,NK,CD16,FCGR3B CD16B FCG3 FCGR3 IGFR3
44,NK,CD16,FCGR3A CD16A FCG3 FCGR3 IGFR3
