,Celltype,Surface_Protein,Gene Names
0,Mono,CD39,ENTPD1 CD39
1,Mono,CD39,ENTPD6 CD39L2 IL6ST2
2,Mono,CD39,ENTPD2 CD39L1
3,Mono,CD39,ENTPD3 CD39L3
4,Mono,CD39,ENTPD5 CD39L4 PCPH
6,Mono,CD107a,LAMP1
7,Mono,CD62P,SELP GMRP GRMP
8,Mono,CD30,TNFRSF8 CD30 D1S166E
9,Mono,CD30,TNFSF8 CD30L CD30LG
10,Mono,CD31,PECAM1
11,Mono,CD34,CD34
12,Mono,CD35,CR1 C3BR
13,Mono,CD36,CD36 GP3B GP4
14,Mono,CD36,SCARB1 CD36L1 CLA1
15,Mono,CD36,SCARB2 CD36L2 LIMP2 LIMPII
16,Mono,CD223,LAG3 FDC
18,Mono,CD226,CD226 DNAM1
19,Mono,CD178,FASLG APT1LG1 CD95L FASL TNFSF6
20,Mono,CD319,SLAMF7 CS1 UNQ576/PRO1138
21,Mono,CD171,L1CAM CAML1 MIC5
22,Mono,Siglec-8,SIGLEC8 SAF2
23,Mono,CD340,ERBB2 HER2 MLN19 NEU NGL
25,Mono,VEGFR-3,FLT4 VEGFR3
26,Mono,CD29,ITGB1 FNRB MDF2 MSK12
27,Mono,CD62E,SELE ELAM1
29,Mono,CD25,IL2RA
30,Mono,CD24,CD24 CD24A
31,Mono,CD146,MCAM MUC18
32,Mono,Galectin-9,LGALS9C
33,Mono,Galectin-9,LGALS9
34,Mono,Galectin-9,LGALS9B
35,Mono,CD142,F3
36,Mono,CD141,THBD THRM
37,Mono,CD294,PTGDR2 CRTH2 DL1R GPR44
39,Mono,CX3CR1,CX3CR1 CMKBRL1 GPR13
41,Mono,CD303,CLEC4C BDCA2 CLECSF11 CLECSF7 DLEC HECL UNQ9361/PRO34150
42,Mono,GP130,LRPPRC LRP130
43,Mono,GP130,IL31RA CRL3 GPL UNQ6368/PRO21073/PRO21384
44,Mono,GP130,IL6ST
45,Mono,GP130,TLE5 AES GRG GRG5
46,Mono,CD253,TNFSF10 APO2L TRAIL
47,Mono,CD357,TNFRSF18 AITR GITR UNQ319/PRO364
49,Mono,CD354,TREM1
51,Mono,CLEC12A,CLEC12A CLL1 DCAL2 KLRL1 MICL
54,Mono,Folate,FOLR2
55,Mono,Folate,FOLR3
56,Mono,Folate,FOLR1 FOLR
57,Mono,Folate,SLC19A1 FLOT1 RFC1
58,Mono,Folate,IZUMO1R FOLR4 JUNO
59,Mono,Folate,SLC46A1 G21 HCP1 PCFT
60,Mono,Folate,FOLH1B PSMAL GIG26
61,Mono,Folate,FOLH1 FOLH NAALAD1 PSM PSMA GIG27
62,Mono,Folate,SLC19A4P C2orf83
64,Mono,CD209,CD209 CLEC4L
65,Mono,CD209,CLEC4M CD209L CD209L1 CD299
66,Mono,CD152,CTLA4 CD152
67,Mono,CD154,CD40LG CD40L TNFSF5 TRAP
68,Mono,CD155,PVR PVS
69,Mono,Cadherin,CDH15 CDH14 CDH3
70,Mono,Cadherin,CDH6
71,Mono,Cadherin,CDH3 CDHP
72,Mono,Cadherin,CDH12
73,Mono,Cadherin,CDH13 CDHH
74,Mono,Cadherin,CDH16 UNQ695/PRO1340
75,Mono,Cadherin,CDH10
76,Mono,Cadherin,CDH18 CDH14
77,Mono,Cadherin,CDH11
78,Mono,Cadherin,CDH2 CDHN NCAD
79,Mono,CD201,PROCR EPCR
80,Mono,CD204,MSR1 SCARA1
81,Mono,CD205,LY75 CD205 CLEC13B
82,Mono,CD206,MRC1 CLEC13D CLEC13DL MRC1L1
83,Mono,CD207,CD207 CLEC4K
84,Mono,CD1d,CD1D
85,Mono,CD284,TLR4
86,Mono,CD1c,CD1C
87,Mono,Podoplanin,PDPN GP36 PSEC0003 PSEC0025
88,Mono,CD1a,CD1A
89,Mono,CD366,HAVCR2 TIM3 TIMD3
90,Mono,IgM,JCHAIN IGCJ IGJ
91,Mono,IgM,CD5L API6 UNQ203/PRO229
92,Mono,IgM,FCMR FAIM3 TOSO
93,Mono,IgM,CD79A IGA MB1
95,Mono,CD49d,ITGA4 CD49D
96,Mono,LOX-1,ALOX15 LOG15
97,Mono,LOX-1,OLR1 CLEC8A LOX1
98,Mono,TIM-4,TIMD4 TIM4
99,Mono,CD98,SLC3A2 MDU1
100,Mono,CD98,SLC7A5 CD98LC LAT1 MPE16
101,Mono,CD370,CLEC9A UNQ9341/PRO34046
102,Mono,CD49a,ITGA1
104,Mono,C5L2,C5AR2 C5L2 GPR77
107,Mono,CD124,IL4R IL4RA 582J2.1
108,Mono,CD126,IL6R
109,Mono,CD279,PDCD1 PD1
110,Mono,CD123,IL3RA IL3R
111,Mono,CD274,CD274 B7H1 PDCD1L1 PDCD1LG1 PDL1
112,Mono,CD95,FAS APT1 FAS1 TNFRSF6
113,Mono,CD95,FASLG APT1LG1 CD95L FASL TNFSF6
114,Mono,CD271,NGFR TNFRSF16
115,Mono,CD270,TNFRSF14 HVEA HVEM UNQ329/PRO509
116,Mono,CD90,THY1
117,Mono,CD16,FCGR3B CD16B FCG3 FCGR3 IGFR3
118,Mono,CD16,FCGR3A CD16A FCG3 FCGR3 IGFR3
119,Mono,CD14,CD14
121,Mono,CD13,ANPEP APN CD13 PEPN
122,Mono,CD267,TNFRSF13B TACI
123,Mono,CD200,CD200 MOX1 MOX2 My033
124,Mono,CD200,CD200R1 CD200R CRTR2 MOX2R OX2R UNQ2522/PRO6015
125,Mono,CD200,CD200R1L CD200R2
127,Mono,CD18,ITGB2 CD18 MFI7
128,Mono,CD194,CCR4 CMKBR4
131,Mono,CD70,CD70 CD27L CD27LG TNFSF7
132,Mono,CD71,TFRC
134,Mono,CD177,CD177 NB1 PRV1 UNQ595/PRO1181
135,Mono,CD301,CLEC10A CLECSF13 CLECSF14 HML
136,Mono,CD140a,PDGFRA PDGFR2 RHEPDGFRA
137,Mono,CD140b,PDGFRB PDGFR PDGFR1
138,Mono,CD305,LAIR1 CD305
139,Mono,CD304,NRP1 NRP VEGF165R
140,Mono,CD309,KDR FLK1 VEGFR2
141,Mono,CD85g,LILRA4 ILT7
142,Mono,CD110,MPL TPOR
143,Mono,CD9,CD9 MIC3 TSPAN29 GIG2
144,Mono,CD9,PTGFRN CD9P1 EWIF FPRP KIAA1436
145,Mono,HLA-DR,ANP32B APRIL PHAPI2
146,Mono,HLA-DR,SET
147,Mono,HLA-DR,CD74 DHLAG
148,Mono,HLA-DR,ANP32A C15orf1 LANP MAPM PHAP1
149,Mono,CD137,TNFRSF9 CD137 ILA
150,Mono,CD134,TNFRSF4 TXGP1L
151,Mono,CD135,FLT3 CD135 FLK2 STK1
152,Mono,CD61,ITGB3 GP3A
153,Mono,CD192,CCR2 CMKBR2
154,Mono,CD269,TNFRSF17 BCM BCMA
155,Mono,CD80,CD80 CD28LG CD28LG1 LAB7
156,Mono,CD83,CD83
157,Mono,CD193,CCR3 CMKBR3
158,Mono,TSLPR,CRLF2 CRL2 ILXR TSLPR
159,Mono,CD86,CD86 CD28LG2
160,Mono,CCR10,CCR10 GPR2
161,Mono,CCR10,ACKR2 CCBP2 CCR10 CMKBR9 D6
162,Mono,Notch-1,NOTCH1 TAN1
163,Mono,Notch-2,NOTCH2
164,Mono,CD337,NCR3 1C7 LY117
165,Mono,CD79b,CD79B B29 IGB
168,Mono,CD79a,CD79A IGA MB1
169,Mono,CD79a,IGBP1 IBP1
170,Mono,CD49b,ITGA2 CD49B
171,Mono,CD64,FCGR1A FCG1 FCGR1 IGFR1
172,Mono,CD63,CD63 MLA1 TSPAN30
177,Mono,CD69,CD69 CLEC2C
178,Mono,CD68,CD68
180,Mono,CD186,CXCR6 BONZO STRL33 TYMSTR
181,Mono,CD185,CXCR5 BLR1 MDR15
182,Mono,CD184,CXCR4
183,Mono,CD103,ITGAE
184,Mono,CD102,ICAM2
185,Mono,CD106,VCAM1
186,Mono,CD105,ENG END
187,Mono,CD66b,CEACAM8 CGM6
188,Mono,CD252,TNFSF4 TXGP1
189,Mono,CD109,CD109 CPAMD7
191,Mono,CD158f,KIR2DL5B CD158F CD158F2 KIR2DL5 KIR2DLX
192,Mono,CD158f,KIR2DL5A CD158F CD158F1 KIR2DL5
193,Mono,CD203c,ENPP3 PDNP3
194,Mono,CD52,CD52 CDW52 HE5
195,Mono,CD195,CCR5 CMKBR5
196,Mono,CD196,CCR6 CKRL3 CMKBR6 GPR29 STRL22
198,Mono,CD54,ICAM1
199,Mono,CD55,CD55 CR DAF
200,Mono,CD99,CD99 MIC2 MIC2X MIC2Y
201,Mono,CD99,CD99L2 MIC2L1 UNQ1964/PRO4486
202,Mono,CD59,CD59 MIC11 MIN1 MIN2 MIN3 MSK21
204,Mono,CD93,CD93 C1QR1 MXRA4
205,Mono,CD244,CD244 2B4
206,Mono,CD158,KIR3DL3 CD158Z KIR3DL7 KIRC1
207,Mono,CD158,KIR2DL5B CD158F CD158F2 KIR2DL5 KIR2DLX
208,Mono,CD158,KIR2DS5 CD158G NKAT9
209,Mono,CD158,KIR2DS1 CD158H
210,Mono,CD158,KIR2DL4 CD158D KIR103AS
211,Mono,CD158,KIR2DL2 CD158B1 NKAT6
212,Mono,CD158,KIR3DL2 CD158K NKAT4
213,Mono,CD158,KIR2DS4 CD158I KKA3 NKAT8
