gene_name,ASDC,B intermediate,B memory,B naive,CD14 Mono,CD16 Mono,CD4 CTL,CD4 Naive,CD4 Proliferating,CD4 TCM,CD4 TEM,CD8 Naive,CD8 Proliferating,CD8 TCM,CD8 TEM,Eryth,HSPC,ILC,MAIT,NK,NK Proliferating,NK_CD56bright,Plasmablast,Platelet,Treg,cDC1,cDC2,dnT,gdT,pDC
HES4,0.03665911,-0.00442152,-0.00044873965,8.648051e-05,-0.029004931,0.08099247,-0.0020538482,-0.002124071,-0.0043085488,-0.00013399382,0.0049519353,0.0016118338,-7.761021e-10,-0.00013052547,0.00111152,0.0019671437,-0.007868514,0.006554472,0.0010611305,0.00033289738,0.008366541,-2.3036684e-09,-0.0052801375,-0.0033532358,-0.0027997212,-0.026077233,-0.0048333295,0.023532243,-0.010644957,0.02945722
ISG15,-0.00380131,-0.0024422284,0.0040166075,0.00026267784,0.0060251975,-0.009853354,0.0020028655,0.0023952667,-0.0064930283,-0.0026965402,-0.007887536,-0.00083692855,0.0012206709,0.008242584,-0.0011661111,-0.019649154,-0.010752125,0.08899848,0.0049202577,0.0040531927,-0.01693625,-0.013595905,0.00709738,0.0016839973,-0.0120667275,0.0058278968,-0.0046922904,0.03563806,0.0069178957,0.02122203
TNFRSF18,-0.020529078,0.009623485,0.0054137595,-0.005654324,-0.000551849,-0.00065633154,-0.031100396,0.0014374508,0.018206304,-0.0056180716,0.02949829,-0.00023462385,0.17230813,0.0045931535,-0.009105404,0.0052541676,0.010805102,-0.4740985,0.022080574,-0.0624037,-0.010749726,-0.11991236,-0.0054564085,-0.0075302427,-0.0447424,2.2577518e-09,0.0044088583,6.0598055e-09,0.009444621,7.924411e-10
TNFRSF4,0.0016255328,0.0025981802,0.0040770876,0.0023432102,0.0016261045,-0.0026851755,0.034548324,0.004353297,-0.09340283,0.030253327,-0.03615936,0.0011064468,0.0495286,-0.03709266,0.0026828537,-2.3283064e-09,0.040454604,-0.4884469,-0.012959187,-0.019509006,-0.006317956,0.086530685,-0.0059604202,-0.0065487428,-0.037825394,0.031701744,0.0013015122,-0.006070699,-0.029071508,0.0029916712
HES5,6.652304e-12,-3.5768947e-11,2.2259633e-11,2.2955134e-11,-0.0001842019,-9.073383e-05,-6.355647e-11,-9.208158e-12,7.894414e-11,-8.574498e-12,1.1940033e-11,4.6803107e-11,1.9402554e-11,8.858542e-11,-1.9864324e-11,-3.5571348e-11,-4.3655746e-11,-3.6379789e-13,-4.6052686e-11,0.0031146787,1.9006583e-11,5.597483e-11,-3.8044225e-12,-2.8488733e-12,-2.4052751e-13,3.792317e-11,8.1900224e-12,-2.173086e-11,1.2484217e-11,-3.4039568e-12
PRDM16,3.9913826e-11,0.00038549662,-3.236602e-11,0.0038976436,0.0,-4.820358e-11,-5.4746666e-11,6.781508e-11,-5.2386893e-11,-5.1256187e-11,-6.7336234e-11,6.872355e-11,1.3581787e-10,-7.4229976e-11,0.00020875005,-1.5522043e-10,0.21873221,-2.1755113e-10,9.577282e-11,0.000102916936,4.15769e-11,0.019768732,1.2174152e-10,8.028643e-12,-1.1665585e-11,3.9510656e-10,0.0053499476,-1.9868215e-10,-0.008207634,3.0976006e-11
RBP7,0.008311734,0.0017727907,-9.294971e-05,0.0021725511,0.017577227,-0.0048891837,-0.0035271547,-0.00033143163,-0.0030813683,0.00043420994,-0.0061137816,0.0010081027,-2.7939677e-09,0.0025494695,-0.002024809,0.03550075,-6.548362e-10,1.299195e-08,0.0011082843,0.00017269784,-0.0003341367,0.0067043835,-0.0017891941,0.00256386,-0.004600244,-6.321705e-09,-0.0042905607,0.0009529887,0.0021906819,-0.0015839302
PGD,-0.017978484,0.005407976,-0.0026443508,9.903443e-05,-0.017862739,0.00035118463,-0.0012661001,-0.0030472097,0.033504806,-0.0023605267,-0.0003333424,-0.00022816703,-0.0043989043,-0.000496164,0.0021751453,-0.01546197,0.018109573,0.020080898,-0.008155429,-0.0045556696,-0.014884861,-0.011538594,-0.0145768905,-0.002497266,-0.009653556,0.018712107,-0.004730096,-0.009592095,-0.00012602012,0.018506171
TNFRSF1B,-0.053399254,0.009173848,0.0011324182,-0.003741173,-0.010406359,0.0049039978,0.0017745205,0.015174836,-0.010348745,-0.0049061067,0.024355324,-0.006898432,-0.013680376,-0.006073328,-0.0037392278,-0.04320603,-0.021550708,-0.036132634,-0.0074407216,0.0109487735,-0.027552579,-0.053814847,-0.0064985543,-0.021855578,0.057785064,0.041304164,-0.013823005,-0.004222572,-0.036242537,0.0152900275
FAM131C,1.2306763e-10,2.5608897e-11,5.031871e-11,-4.2705492e-11,-4.5960657e-12,4.2431107e-11,-6.827601e-11,-7.985166e-12,-4.238245e-11,-2.2555833e-12,3.5056493e-12,1.6157574e-11,-3.6948222e-11,1.2320959e-11,0.0016785751,1.9402554e-11,4.092726e-11,9.313226e-11,2.5357792e-11,2.5912602e-11,9.503291e-12,-1.9094577e-11,-0.008581502,1.5150827e-11,-2.4052753e-11,-1.661895e-11,-0.0018717664,2.4059166e-11,2.6528961e-11,-0.0045786714
