gene_name,ASDC,B intermediate,B memory,B naive,CD14 Mono,CD16 Mono,CD4 CTL,CD4 Naive,CD4 Proliferating,CD4 TCM,CD4 TEM,CD8 Naive,CD8 Proliferating,CD8 TCM,CD8 TEM,Eryth,HSPC,ILC,MAIT,NK,NK Proliferating,NK_CD56bright,Plasmablast,Platelet,Treg,cDC1,cDC2,dnT,gdT,pDC
HES4,-0.0011237466,-0.013037476,-0.033990394,-0.051378477,0.022115193,0.6248757,-0.02514423,-0.067638434,-0.0044479384,-0.06989594,-0.03806118,-0.06509937,-0.0073899264,-0.03232656,-0.06078757,-0.0038690253,-0.009480121,-0.004227023,-0.026369758,-0.027487554,0.00042054092,-0.02079105,-0.007287225,-0.028923413,-0.026714273,-0.0014563554,-0.001394145,-0.009303693,-0.029451013,-0.009198507
ISG15,0.0023337875,-0.018891007,-0.035792872,-0.08374684,0.1000522,0.16504337,-0.003483949,-0.10694052,0.021374946,-0.02761923,-0.019093635,-0.063787416,0.013488451,-0.030562716,-0.012398188,-0.010781357,-0.022302039,0.0028272327,0.002856622,0.07846248,0.016307933,-0.00019932954,0.013312265,-0.06484839,-0.03648687,0.007566112,0.028112167,0.009222324,-0.0012004273,-0.012682354
TNFRSF18,-0.0029552837,-0.01076928,-0.020919,-0.025739225,-0.13045324,-0.043715317,0.0027764824,-0.07952838,0.014641393,0.07998474,0.040778883,-0.059949256,0.010680815,-0.013041056,-0.010591843,-0.003076678,-0.00022243329,0.07984831,-0.004179645,0.26312724,0.03532052,0.15606199,0.0065062395,-0.023629222,-0.0050414265,-0.007809547,-0.026933463,-0.011781049,0.0044339765,-0.017815774
TNFRSF4,0.005338244,-0.026837075,-0.029294778,-0.045038696,-0.11831307,-0.035736002,-0.012091998,-0.05905741,0.012056783,0.29960576,0.089466944,-0.05628389,0.00055146636,0.0009978223,-0.03570242,-0.0057335277,-0.0003700807,0.06685465,-0.0117410105,0.06899209,0.00093553436,0.02580263,-0.0025904677,-0.023443317,0.025818853,-0.005762858,-0.025171377,-0.008789289,-0.0114507815,-0.014145741
HES5,-0.00022489144,-0.0011743656,-0.0014191414,-0.0021774822,0.001552883,0.014607874,-0.0010397558,-0.0033472783,-0.000240422,-0.0030873916,-0.001576896,-0.0025869026,-0.00026338207,-0.00129924,-0.002707729,-0.0002280812,-0.00043037557,-0.00024042198,-0.0012777611,0.0069744657,-0.00053285755,-0.000741047,-0.00047062046,-0.0011474494,-0.001191351,-0.00030889598,-0.0012081042,-0.00046597622,-0.0014852044,-0.0007046697
PRDM16,-0.00040023384,0.0054456387,-0.0025255985,0.00033323126,-0.010244223,-0.003471367,-0.0018504348,-0.0059571536,-0.0004278828,-0.005494511,-0.0028063718,-0.004603903,-0.00046875046,-0.0023122279,0.0021306726,-0.00040591572,0.12101628,-0.00042788507,-0.0022739896,-0.0001794528,-0.0009482978,0.034190364,-0.000837562,-0.002042163,-0.0021202015,-0.000549735,0.0051790983,-0.0008293094,0.015390888,-0.0012540742
RBP7,-0.010347948,-0.056064203,-0.06769154,-0.102178864,0.7092698,0.05293577,-0.05016793,-0.16252035,-0.010018721,-0.15126657,-0.07366611,-0.12587397,-0.013683928,-0.06509726,-0.12894323,-0.0017760905,-0.022359626,-0.012491002,-0.0628576,-0.16021019,-0.025739325,-0.037509695,-0.021269351,-0.048372313,-0.058546178,-0.016048037,-0.050868414,-0.023569878,-0.06877207,-0.03301664
PGD,0.0058016367,-0.04911417,-0.0508841,-0.10456591,0.63253695,0.055738322,-0.04989778,-0.15782835,0.003997324,-0.15057032,-0.07656953,-0.12317066,-0.0032315908,-0.062366817,-0.12745355,-0.0036733358,0.01379588,-0.013312047,-0.06750065,-0.15233551,-0.010230785,-0.035737313,-0.00208799,-0.018229464,-0.060089502,0.004719528,0.048340898,-0.022832958,-0.067932956,0.03717678
TNFRSF1B,0.0014591572,-0.05550966,-0.0877827,-0.1708302,0.61251056,0.29251227,-0.0038853479,-0.2742242,0.0001264919,-0.16106756,-0.06593631,-0.22169839,-0.0048261895,-0.08125736,-0.055547412,-0.012832224,-0.03862723,-0.021049205,-0.060221933,-0.03568605,-0.0079059,-0.047162965,-0.034956597,-0.08741776,-0.031837877,-0.021108674,0.034752782,-0.027375538,-0.04095317,-0.02466475
FAM131C,-0.00018361752,-0.0009588405,-0.0011586943,-0.0017778842,-0.0046997326,-0.0015925961,-0.0008489567,-0.002733039,-0.00019630292,-0.0025207582,-0.0012874918,-0.0021121977,-0.00021505148,-0.0010608063,0.0053601107,-0.00018622323,-0.00035139546,-0.00019630285,-0.0010432415,-0.0027484996,-0.0004350602,-0.0006050471,0.04008592,-0.0009368878,-0.00097270816,-0.0002522054,0.014988406,-0.00038046527,-0.0012126225,0.026535034
