gene_name,ASDC,B intermediate,B memory,B naive,CD14 Mono,CD16 Mono,CD4 CTL,CD4 Naive,CD4 Proliferating,CD4 TCM,CD4 TEM,CD8 Naive,CD8 Proliferating,CD8 TCM,CD8 TEM,Eryth,HSPC,ILC,MAIT,NK,NK Proliferating,NK_CD56bright,Plasmablast,Platelet,Treg,cDC1,cDC2,dnT,gdT,pDC
HES4,0.032739665,0.066692896,0.053110816,0.056281257,0.13753882,0.7229116,0.06403437,0.10508139,0.028549865,0.088886455,0.093853936,0.09843053,0.024570847,0.0841243,0.086276226,0.03396411,0.019716466,0.05496712,0.07783388,0.10852345,0.046250947,0.045661386,0.024720931,0.036697365,0.0700728,0.05638801,0.06591913,0.06217016,0.06737796,0.040646203
ISG15,0.05421001,0.0896972,0.088879004,0.10145997,0.17097399,0.16118687,0.12905851,0.20030026,0.059400428,0.1838516,0.16132796,0.18358111,0.06508204,0.14883313,0.15881409,0.05123542,0.03919238,0.091416076,0.14953417,0.15622342,0.059147608,0.11432207,0.038028326,0.07039987,0.14198333,0.054218348,0.083473176,0.13671935,0.13533983,0.0555596
TNFRSF18,0.026384123,0.06109598,0.06144495,0.061564412,0.07569432,0.06879969,0.16214098,0.11437732,0.05236573,0.29364976,0.22377226,0.09039966,0.19307445,0.11845758,0.13951872,0.020712996,0.032854773,0.75878257,0.13359822,0.3558626,0.11030166,0.45329422,0.042621296,0.033479784,0.13662615,0.042601842,0.053283058,0.062679574,0.13352501,0.031323917
TNFRSF4,0.040709786,0.067522906,0.06681361,0.071775466,0.10437182,0.091720454,0.1210919,0.17340201,0.053448796,0.62209755,0.45464644,0.123091534,0.15927106,0.20105992,0.136157,0.035893064,0.03804264,1.1087968,0.13602737,0.20968686,0.074330315,0.1611116,0.037227605,0.04342406,0.26609212,0.06535613,0.07713608,0.08827008,0.11652718,0.054905184
HES5,0.00042829735,0.00083100446,0.00083035964,0.0008252998,0.0016171336,0.0009762131,0.0011719359,0.0018507533,0.00048011506,0.0016884464,0.0015924904,0.0016202779,0.00049891684,0.0013376346,0.0013529292,0.00034022503,0.00037846848,0.0006577106,0.0012664045,0.016557682,0.02718989,0.00090250315,0.00035437645,0.00045409784,0.001277679,0.0006582677,0.0008315452,0.0010494008,0.02461067,0.000494877
PRDM16,0.0012864677,0.006130313,0.0022833273,0.002261287,0.0032771023,0.0027055964,0.0029655532,0.0047234343,0.0013243523,0.0039981175,0.0038157469,0.006655948,0.0012161322,0.0032558916,0.09626249,0.0013487079,0.07616655,0.0015365151,0.0031718398,0.03793332,0.0036270353,0.36150086,0.0009994354,0.0012276054,0.0034288298,0.0023037302,0.0025013026,0.0029926787,0.16466415,0.0013604945
AJAP1,0.0018301647,0.0043514627,0.0040788674,0.0040402906,0.0061202166,0.006583717,0.0058058403,0.030074151,0.0019001696,0.009367712,0.007881378,0.028792698,0.0028795698,0.00894016,0.0065389276,0.004718311,0.0020451606,0.0032915736,0.010860726,0.00644395,0.0021822252,0.0044191726,0.0017554808,0.0020580303,0.016266577,0.0030950224,0.0040242826,0.0053916057,0.0056711202,0.24779062
RBP7,0.044890046,0.079981744,0.07710599,0.08006861,0.37436786,0.13679442,0.10482577,0.20205821,0.049664468,0.16722825,0.15476733,0.16304944,0.071106166,0.120789275,0.12925339,0.04564163,0.03523385,0.059941493,0.124221586,0.10695723,0.04140383,0.082988575,0.031757012,0.048662025,0.121539004,0.0728494,0.088179864,0.08835414,0.10067648,0.04850453
PGD,0.06889661,0.08869919,0.09264574,0.08990947,0.30061,0.12715802,0.12419849,0.19243577,0.04625109,0.18286319,0.16519456,0.16875115,0.053557582,0.143384,0.13131109,0.03948774,0.047564693,0.083455004,0.13738565,0.10644549,0.05057291,0.09470245,0.028687732,0.08107644,0.14880055,0.07038028,0.0902489,0.09452611,0.112629026,0.07219806
TNFRSF1B,0.05820728,0.26280597,0.2257207,0.27695036,0.5905856,0.6665803,0.33606404,0.6766153,0.075752296,0.5211744,0.4140494,0.5852418,0.12099586,0.41170985,0.40853477,0.14822519,0.13093638,0.2450723,0.4126367,0.34715977,0.10484865,0.29338536,0.1177284,0.1757321,0.3789421,0.23603474,0.1985266,0.28767502,0.33813524,0.12195742
