gene_name,ASDC,B intermediate,B memory,B naive,CD14 Mono,CD16 Mono,CD4 CTL,CD4 Naive,CD4 Proliferating,CD4 TCM,CD4 TEM,CD8 Naive,CD8 Proliferating,CD8 TCM,CD8 TEM,Eryth,HSPC,ILC,MAIT,NK,NK Proliferating,NK_CD56bright,Plasmablast,Platelet,Treg,cDC1,cDC2,dnT,gdT,pDC
HES4,0.00046145506293804317,0.0006590697497568243,0.002876535012609871,0.0025934475200670715,0.0020506077194801797,0.10816330623870263,0.0,0.003535988130773937,0.00020114039901897307,0.005817963707506646,0.0015542442418894353,0.0027760512353272038,0.0,0.003359060253787849,0.002601901310159249,0.0003009959983486521,0.0,0.0002018050028615992,0.0,0.004911427250215539,0.0010945247123588242,0.0007934685000419162,0.0004976565135391686,0.0024922001967710994,0.0,2.3352058679648735e-05,0.003320785907362067,0.0006757816919920057,0.004622967001282063,0.0
ISG15,0.0012808593179400862,0.0029950124399040767,0.0,0.00346294672263614,0.012147763349515728,0.026698651963543485,0.0023764364199418964,0.006337029771262381,0.00300655409248185,0.004434142745978198,0.0038475822777368496,0.009399750154261977,0.001078671404031173,0.0013881327413887146,0.0069015278472956965,0.0015895812886438376,0.00473694650608536,0.0007143665003147559,0.0019031518590291174,0.008185068731295209,0.0005970297621301635,0.0,0.005347994795198208,0.010392570444671678,0.004248765742510319,0.00630106054004731,0.01209217013914965,0.00031877037961791643,0.001961519244190857,0.0036543038393757055
TNFRSF18,0.0,0.0018535547562008592,0.004113427153312976,0.0010371829111086583,0.002361003698588382,0.002846663063390986,0.0017108670445664664,0.008194839289600964,0.001489960024236625,0.0006983622057656902,0.0009867925941851041,0.0022373851343677753,0.0,0.00019778663981750988,0.0,0.0011455986087932635,0.0015307375521108613,0.01363940704980482,0.0013600164918652347,0.019180164745451478,0.003082739927566691,0.008940205903600451,0.0044788079127841,0.0024446011739476248,0.0,0.0004451032697391222,0.0,0.00026421093380757377,0.0,0.00012075971059055668
TNFRSF4,0.0009552427110811612,0.0019342389742356136,0.0014730624812266946,0.0,0.0031617951029934144,0.002568953964361187,0.0012950088495882195,0.004607857625794853,0.0027268733205677576,0.015651721687773623,0.0019047540888224024,0.0005826533685153734,9.492141107714236e-05,0.0,0.0016640099981712897,0.0011792163276044265,0.0,0.01138290806167741,0.0015947233051116783,0.0019012065110581844,0.0,0.0,0.0007584903122338504,0.0009588000997444723,0.004071663415692095,0.0016190104292476137,0.004568808072093367,0.0005308346836863098,0.0017011077366280158,0.0005872995413158666
AJAP1,0.0005037772740899005,0.0,0.000180506138477865,0.0,0.0041277724113146785,0.0,0.0,0.0,0.0,0.002577463418125703,2.6378003088467494e-06,0.0,0.00028731106621637803,0.0010346382034975843,0.0,0.00023609360561893666,0.0,0.00013408742840770316,0.0009204085360803305,0.003073109717914857,0.00012441241408833736,0.0001261857940579869,0.0,1.283154352660354e-05,1.4420799615555424e-05,0.0014432178585376265,0.0,0.0,0.0,0.018811165620648662
RBP7,0.0,0.0006896169728889401,0.006783517199945299,0.003990763121571428,0.15235435950276477,0.012773386193289049,0.001670928870891375,0.009267995973744725,0.0,0.005384891793271951,0.002670760089533264,0.004761752209145431,0.000656413823964086,0.0031823095568765947,0.009300161949027608,0.0007885903066939814,0.0015957320796914365,0.00048414215677028416,0.001694571120181232,0.009658598073110758,0.0008304420157668746,9.833699509398386e-05,0.00014847023873731935,0.005016007124754696,0.003434284838316648,0.0,0.003231644335121464,0.0002030511308522831,0.004009547563190496,0.001184044731079581
PGD,0.0012239731578956858,0.0,0.0,0.006730376306464114,0.10529399776838289,0.008900960835006355,0.004351105950571421,0.006286253192352431,0.0024843461388091015,0.00918030157175398,0.002093652509634447,5.4276424103605336e-05,0.0010314794542284345,0.00315808602271761,0.004532351134905133,3.6022921764411464e-05,0.004229071817702823,0.0,0.00441127729537083,0.007829862971437063,0.0,0.0010178548577921553,0.004108655567686914,0.011820814745746144,0.004153757327814311,0.00577378855067745,0.018669816565560104,0.0005985601834640475,0.005327184020534892,0.007889315199738123
SRM,0.0022878135950749057,0.0020629357849486496,0.0021274509761362026,0.0035913579642161686,0.01776062170289805,0.006877661443078775,0.002097605388070578,0.0044875036531357715,0.0013598846876893278,0.005461410324146598,0.0004546196258270463,0.0024013292199338565,0.00017282850930999683,0.0005314673967153904,0.005633287888777927,0.0014746015445932237,0.0021976081384827983,0.0010584400075790423,0.0033968952119962648,0.011231259817406025,0.0,0.0,0.009796954219092102,0.00655684467587303,0.004677268422998759,0.003917265568036399,0.01795313130010112,0.0,0.00250832528316014,0.00215893378324461
TNFRSF1B,0.0010532025750461527,0.006192915430108137,0.00936829449406651,0.011513101378420876,0.12004387912363534,0.08014216781418826,0.0026479829833330193,0.029253425534904176,0.0024300081769602633,0.012101633222711738,0.005873153046850765,0.023385692133462754,0.0004276428855577441,0.0068436641974853885,0.005274939904073461,0.0012187066241923228,0.004268732622452753,0.0004936189283921699,0.006397323246694286,0.010127732073526019,0.0044985596689075535,0.0014994780478154723,0.006098508428587723,0.008385841687357898,0.005633211318870401,0.003752349407367128,0.018592940372028854,9.709654088885245e-05,0.005735783810107975,0.009615817126929382
PADI4,0.0001920179905611219,0.0,0.0,0.0001680876660565822,0.04594210835264989,0.0006025269954303969,0.0019984873945877446,0.0032993122429025856,0.0005805541706513928,0.006155149803271476,0.002598682203159841,0.0,0.0,0.0012960701512432227,0.005206389483007667,0.0,0.001629010578895973,0.00021451435646069328,0.00195401860972666,0.004452575222335442,0.0,0.00010679577012639996,0.0009230049339110646,0.014524810338126581,0.001854167791505823,0.0038713855899527028,0.002688916317619805,0.0,0.000262567411624115,0.0026324251711442592
