gene_name,ASDC,B intermediate,B memory,B naive,CD14 Mono,CD16 Mono,CD4 CTL,CD4 Naive,CD4 Proliferating,CD4 TCM,CD4 TEM,CD8 Naive,CD8 Proliferating,CD8 TCM,CD8 TEM,Eryth,HSPC,ILC,MAIT,NK,NK Proliferating,NK_CD56bright,Plasmablast,Platelet,Treg,cDC1,cDC2,dnT,gdT,pDC
HES4,-0.004344662,-0.041841503,-0.045770396,-0.059619226,0.047879532,0.63990206,-0.036459383,-0.048403155,-0.0066695483,-0.06205538,-0.056402914,-0.06517034,-0.018862478,-0.03918365,-0.059129216,0.003979656,-0.015706996,-0.023516113,-0.026773103,0.0010739712,-0.020201607,-0.034465127,-0.019340891,-0.04103365,-0.03686736,0.0046223095,0.0052073267,-0.018349258,-0.036255818,0.012931971
ISG15,0.0043328027,-0.017628182,-0.049125556,-0.104588166,0.07025674,0.18165956,0.011843396,-0.06562814,0.075317584,0.007823108,-0.046305142,-0.061535925,0.057159167,-0.02430461,-0.015993448,-0.014285434,-0.04340486,0.016122323,0.02666445,0.079488814,0.037522014,-0.006348242,0.026814751,-0.10037345,-0.021224724,0.032702427,0.022503871,-0.0042522997,0.002621943,-0.015634883
TNFRSF18,-0.019076414,-0.027934449,-0.032953624,-0.02021156,-0.085817866,-0.05628075,-0.0004926699,-0.08114909,0.01617034,0.080048464,0.040486246,-0.06794887,0.007857337,-0.010019825,-0.028448483,-0.010973995,-0.0063326024,0.27472797,0.0047125625,0.17158917,0.0134350415,0.22008939,0.014409191,-0.04897683,-0.013480479,-0.02631481,-0.04232024,-0.028785074,-0.0021118815,-0.027710045
TNFRSF4,0.02337569,-0.047111746,-0.04496212,-0.059178237,-0.07732297,-0.03939497,-0.035948507,-0.051292818,0.018930526,0.25323936,0.1128488,-0.056013066,-0.018671766,0.00627488,-0.041344963,0.0025465547,-0.0046774424,0.21630348,-0.020280011,0.05970139,-0.010071078,0.076583445,-0.010100137,-0.040494002,0.003220447,-0.01500181,-0.039866034,-0.027457615,-0.019846728,-0.018355891
AJAP1,-0.0043769446,-0.011332037,-0.012154901,-0.015247768,-0.02295019,-0.013912069,-0.010197013,0.010765984,-0.0047116093,-0.017481692,-0.013429696,-0.016462868,-0.0044912025,-0.011931251,-0.016077423,-0.0051246225,-0.006121795,-0.005599258,-0.010851492,-0.018137718,-0.006908359,-0.008206258,-0.006758084,-0.01123737,-0.010300114,-0.006037738,-0.0109491125,-0.0066045183,-0.012418698,0.43362537
AL359881.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SLC2A5,-0.006581864,0.0135592,0.010504841,0.1753817,-0.018053293,-0.008262114,-0.015333896,-0.027998576,-0.0070851273,-0.026288284,-0.020195067,-0.013873035,-0.006753712,-0.01794176,-0.024176588,-0.0077062272,0.10084818,-0.008419951,-0.016318055,-0.02727477,-0.010388529,-0.012340218,0.16473338,-0.01689834,-0.015488908,-0.009079296,-0.016464869,-0.009931633,-0.01867476,-0.012148741
MIR34AHG,-0.002443419,-0.006326088,-0.0067854575,-0.008512048,-0.012811924,0.026025869,-0.005692482,-0.010394048,-0.0026302435,-0.009759128,-0.007497106,0.019877303,-0.0025072165,-0.0066606053,-0.008975185,-0.0028608197,-0.0034174838,-0.0031257772,-0.0060578366,0.016641678,-0.0038565807,-0.0045811203,0.13030027,-0.0062732548,-0.0057500307,-0.0033705544,-0.006112302,-0.0036869673,-0.006932722,-0.0045100213
RBP7,-0.02453173,-0.050603464,-0.039103284,-0.06065361,0.63832,0.15357293,-0.051782466,-0.092532635,-0.0068659387,-0.08911115,-0.063553736,-0.08915332,-0.025172163,-0.066872,-0.07996207,0.009024182,-0.03431119,-0.022788849,-0.051304583,-0.056241605,-0.038719743,-0.039703522,-0.031229673,-0.0387648,-0.047655996,-0.026399434,-0.04404318,-0.037016712,-0.04805585,-0.027856797
SRM,0.069553904,0.020387297,0.014488955,-0.016663026,-0.018845985,0.005317146,0.00048354015,-0.050344966,0.037625916,0.0024829297,-0.010430546,0.012905431,0.059644192,-0.004802734,-0.026754867,-0.027480181,0.03891296,-0.02279426,0.031192223,-0.037965864,0.022117209,-0.021776905,0.13045341,-0.07697705,-0.01876751,0.03952325,0.10050976,-0.016539788,-0.015774334,0.016915983
