gene_name,ASDC,B intermediate,B memory,B naive,CD14 Mono,CD16 Mono,CD4 CTL,CD4 Naive,CD4 Proliferating,CD4 TCM,CD4 TEM,CD8 Naive,CD8 Proliferating,CD8 TCM,CD8 TEM,Eryth,HSPC,ILC,MAIT,NK,NK Proliferating,NK_CD56bright,Plasmablast,Platelet,Treg,cDC1,cDC2,dnT,gdT,pDC
HES4,0.015612203,0.02228708,0.020876294,0.024846628,0.039600667,0.26130483,0.028153593,0.040514275,0.011171089,0.029265767,0.030535255,0.033953875,0.011927529,0.028532837,0.023357274,0.010770365,0.015739605,0.022015719,0.026285311,0.04862299,0.015703492,0.021568766,0.0121088205,0.022072682,0.027917022,0.01959525,0.023040667,0.027363477,0.023393033,0.027038733
ISG15,0.039919537,0.04807762,0.04774774,0.0578646,0.06848524,0.07110509,0.080173716,0.08698098,0.023505468,0.08031103,0.07103683,0.091222286,0.039468616,0.06630911,0.06417984,0.040029433,0.0279851,0.0454916,0.06788719,0.077617206,0.031536937,0.058292978,0.0261804,0.04177494,0.07361822,0.037374515,0.05236569,0.07390274,0.071721755,0.034381498
TNFRSF18,0.023692604,0.042267848,0.031877913,0.029845888,0.032693826,0.02453261,0.06057705,0.04154786,0.027520347,0.085652664,0.05887348,0.042021945,0.034718454,0.044212256,0.047654144,0.024240147,0.021542825,0.3115662,0.043686327,0.14001404,0.061273333,0.1814172,0.016117563,0.018450513,0.051614895,0.022854332,0.02463564,0.0236096,0.045372635,0.02141541
TNFRSF4,0.023645515,0.026219655,0.031544987,0.03345781,0.03204772,0.027789436,0.050327674,0.050571706,0.021269599,0.181265,0.12019493,0.05333567,0.025263496,0.05359673,0.035595756,0.023764674,0.028845662,0.3132375,0.04571365,0.07976589,0.033793394,0.08113928,0.017036958,0.020636939,0.071798384,0.024523031,0.024001578,0.024990419,0.043053083,0.03575083
AJAP1,0.002980572,0.0030665956,0.0033236493,0.0032914227,0.0036624304,0.0036572374,0.0040631546,0.0053282543,0.0020509148,0.0055933427,0.003902096,0.021073245,0.002173334,0.003980282,0.0054655736,0.0110659795,0.0023879316,0.0028887328,0.0036394221,0.0032463365,0.0018759723,0.002424212,0.0017766384,0.0022382352,0.00722477,0.0026762828,0.002883007,0.003321371,0.0035644434,0.12071738
RBP7,0.031029537,0.035904296,0.036433782,0.038936682,0.23395123,0.07910542,0.050701767,0.05961435,0.02237247,0.05613212,0.051701777,0.061533608,0.017279191,0.045655575,0.047942154,0.027357036,0.026760455,0.030188285,0.04396716,0.041820407,0.021261796,0.029802704,0.020940369,0.024830906,0.049318943,0.025058733,0.033238385,0.035239838,0.030333864,0.031239562
PGD,0.05185887,0.042186465,0.052677073,0.05590649,0.20267,0.07288015,0.0613075,0.08718801,0.03148107,0.06275819,0.06526001,0.07811405,0.034834556,0.053716045,0.050546337,0.03349724,0.06268506,0.03714966,0.05592993,0.05224157,0.035743937,0.038965385,0.025930608,0.07154397,0.06142341,0.0410391,0.074200176,0.049571455,0.041611716,0.06824103
SRM,0.041866045,0.05566464,0.06006565,0.061014015,0.051570013,0.04284205,0.08925833,0.0964029,0.03264308,0.082334384,0.08218134,0.08924229,0.029859075,0.07188084,0.06404379,0.027379382,0.04014657,0.05443498,0.0659804,0.05942789,0.03981491,0.049857724,0.066721745,0.02827193,0.08396371,0.06275093,0.06177112,0.069025874,0.06634425,0.040942863
TNFRSF1B,0.06069636,0.095529504,0.10529663,0.13191909,0.22273873,0.25686026,0.174685,0.1993443,0.054152023,0.16380514,0.14892603,0.19142713,0.047724884,0.14784002,0.14019221,0.08080119,0.0885182,0.095332876,0.13355428,0.13786043,0.06257545,0.089183964,0.06722997,0.088813975,0.14759442,0.09333404,0.086974226,0.11476755,0.13823041,0.06534267
PADI4,0.048956208,0.033488557,0.03897869,0.043312505,0.16358574,0.035141014,0.04304949,0.072188206,0.017253086,0.05022337,0.047076616,0.109665506,0.020346813,0.047983557,0.04500947,0.026111444,0.037484486,0.027246615,0.035565432,0.051990975,0.021810513,0.05221899,0.019864982,0.1304234,0.057990137,0.046909716,0.03860678,0.054859225,0.053168826,0.042134874
CDA,0.028547172,0.036810882,0.043385513,0.037457857,0.21845151,0.15802795,0.047514684,0.05981307,0.020338606,0.052002013,0.050846376,0.057070468,0.017520083,0.049080983,0.046325296,0.037340052,0.023528028,0.030716894,0.041527737,0.042596493,0.022663638,0.03775143,0.020421434,0.038365364,0.052680872,0.03703241,0.037749738,0.039714687,0.039390624,0.030684764
DDOST,0.07036207,0.065878265,0.06885807,0.082526304,0.07479459,0.05657445,0.11669482,0.10799678,0.038452726,0.09158713,0.096286125,0.10508772,0.043777596,0.10042947,0.09373424,0.031875815,0.055949453,0.05504867,0.07995805,0.10147049,0.0495804,0.0624843,0.094411075,0.04276465,0.10177063,0.06913945,0.059761804,0.086960316,0.0917792,0.07131624
C1QA,0.022581203,0.018992953,0.018074417,0.019492703,0.03566788,0.24772532,0.022412073,0.02972179,0.009833698,0.02814092,0.022616683,0.028613696,0.010930704,0.024827229,0.02276998,0.014369683,0.013161747,0.014103626,0.020973958,0.031230697,0.01038495,0.016631247,0.010206812,0.024259413,0.022581503,0.018457849,0.04533029,0.017498402,0.020117208,0.029560234
C1QC,0.0015164362,0.0020729173,0.002152749,0.0023167413,0.0040533827,0.060276695,0.0027706227,0.0034239967,0.001225967,0.0031193167,0.0030155194,0.0035202273,0.0010948651,0.0026711451,0.0023234186,0.001468122,0.0015775383,0.0016744286,0.002476005,0.0023069466,0.0013811992,0.0022648082,0.0011453236,0.0060167797,0.004074925,0.0019737484,0.0052199266,0.0025535715,0.002186098,0.0017533548
C1QB,0.004292571,0.007689634,0.0050945967,0.0054306453,0.008760434,0.10886932,0.008715728,0.0085749915,0.0033551236,0.0072073904,0.006810613,0.009653772,0.0033249818,0.0075914944,0.008551819,0.0038785588,0.0034376709,0.004723099,0.006160817,0.006905338,0.0032434806,0.0051056966,0.003975602,0.0047890022,0.007010969,0.007517138,0.02513974,0.0058045154,0.0068623014,0.010658937
