celltype,method,auc_rel
B,spearman,0.7033862876254181
CD4 T,spearman,0.6910590006794352
CD8 T,spearman,0.810206193774381
DC,spearman,0.725912187597554
Mono,spearman,0.9013791929167376
NK,spearman,0.944669687574529
other,spearman,0.7751431297709923
other T,spearman,0.8591212989493792
B,partial_corr,0.5399844720496895
CD4 T,partial_corr,0.7896321868630295
CD8 T,partial_corr,0.8182628771594618
DC,partial_corr,0.6598049837486457
Mono,partial_corr,0.6562574493444577
NK,partial_corr,0.8269602777115298
other,partial_corr,0.5816316793893129
other T,partial_corr,0.6007299768044754
B,mi_ksg,0.732560917343526
CD4 T,mi_ksg,0.6766990469544778
CD8 T,mi_ksg,0.7262319878990526
DC,mi_ksg,0.682244706832914
Mono,mi_ksg,0.872569385322663
NK,mi_ksg,0.8493785939528844
other,mi_ksg,0.6604484732824427
other T,mi_ksg,0.7277254741438123
B,ig_mlp,0.6404085045389393
CD4 T,ig_mlp,0.6741649374736031
CD8 T,ig_mlp,0.6057957169015206
DC,ig_mlp,0.710119911122537
Mono,ig_mlp,0.9019240592542141
NK,ig_mlp,0.795903224951639
other,ig_mlp,0.6725667938931298
other T,ig_mlp,0.6370923727657252
