celltype,method,auc_rel
B,spearman,0.94845423563778
CD4 T,spearman,0.962028914879792
CD8 T,spearman,0.9964753744914603
DC,spearman,0.9039043215241803
Mono,spearman,0.8959084266926449
NK,spearman,0.9449245374878287
other,spearman,0.8049537487828627
other T,spearman,0.9811495372625426
B,partial_corr,0.5063291139240507
CD4 T,partial_corr,0.9435103963612735
CD8 T,partial_corr,0.9746151971353044
DC,partial_corr,0.7697736675590168
Mono,partial_corr,0.6596200681928884
NK,partial_corr,0.7840189873417721
other,partial_corr,0.6082035053554041
other T,partial_corr,0.7800779347296639
B,mi_ksg,0.8610029211295034
CD4 T,mi_ksg,0.9102095516569201
CD8 T,mi_ksg,0.8835748701700444
DC,mi_ksg,0.8932656537913292
Mono,mi_ksg,0.8718947881149537
NK,mi_ksg,0.8438412852969815
other,mi_ksg,0.7237098344693281
other T,mi_ksg,0.8188991719434974
B,ig_mlp,0.743062317429406
CD4 T,ig_mlp,0.932504873294347
CD8 T,ig_mlp,0.9261703444009074
DC,ig_mlp,0.7925112123213851
Mono,ig_mlp,0.7590842669264491
NK,ig_mlp,0.7313169425511198
other,ig_mlp,0.8264970788704966
other T,ig_mlp,0.8536775450560156
