celltype,method,auc_rel
ASDC,spearman,0.9427327972825943
B intermediate,spearman,0.7408779477374123
B memory,spearman,0.716208243641872
B naive,spearman,0.7171551547448247
CD14 Mono,spearman,0.8835549186635884
CD16 Mono,spearman,0.8093624416205062
CD4 CTL,spearman,0.7946144040790313
CD4 Naive,spearman,0.8803127984718243
CD4 Proliferating,spearman,0.8049122087859534
CD4 TCM,spearman,0.6564850401809522
CD4 TEM,spearman,0.6746905974732893
CD8 Naive,spearman,0.7359802280156262
CD8 Proliferating,spearman,0.8168682106989137
CD8 TCM,spearman,0.7832562097760758
CD8 TEM,spearman,0.9038188631108985
Eryth,spearman,0.565886287625418
HSPC,spearman,0.8187082139446036
ILC,spearman,0.8868465027452853
MAIT,spearman,0.8109196564850402
NK,spearman,0.9468123209169055
NK Proliferating,spearman,0.8864613180515759
NK_CD56bright,spearman,0.8639548355063535
Plasmablast,spearman,0.8147078835579912
Platelet,spearman,0.8107900114109811
Treg,spearman,0.7477907809887748
cDC1,spearman,0.9205401902943082
cDC2,spearman,0.777257525083612
dnT,spearman,0.8793119923554706
gdT,spearman,0.8803377947737412
pDC,spearman,0.9165140779661917
ASDC,partial_corr,0.8467213332271847
B intermediate,partial_corr,0.6844327597195666
B memory,partial_corr,0.5424380132344734
B naive,partial_corr,0.7652866024458564
CD14 Mono,partial_corr,0.7215720616723722
CD16 Mono,partial_corr,0.7323340936244163
CD4 CTL,partial_corr,0.5575605481198216
CD4 Naive,partial_corr,0.9337392550143266
CD4 Proliferating,partial_corr,0.6304912208785953
CD4 TCM,partial_corr,0.6821934938119495
CD4 TEM,partial_corr,0.7230916346383714
CD8 Naive,partial_corr,0.7936059953759069
CD8 Proliferating,partial_corr,0.7364213978274237
CD8 TCM,partial_corr,0.7858624541247806
CD8 TEM,partial_corr,0.8292274575460417
Eryth,partial_corr,0.44065934065934065
HSPC,partial_corr,0.5091332378223495
ILC,partial_corr,0.7412270231558845
MAIT,partial_corr,0.6957649092480553
NK,partial_corr,0.7990090735434575
NK Proliferating,partial_corr,0.7852196752626552
NK_CD56bright,partial_corr,0.5851707460600599
Plasmablast,partial_corr,0.68388532337851
Platelet,partial_corr,0.6558660403895656
Treg,partial_corr,0.6690815487089669
cDC1,partial_corr,0.867612454387341
cDC2,partial_corr,0.6671763019589106
dnT,partial_corr,0.6563784042044911
gdT,partial_corr,0.6297801147227533
pDC,partial_corr,0.7757078788843775
ASDC,mi_ksg,0.6028978584507603
B intermediate,mi_ksg,0.7968052899936265
B memory,mi_ksg,0.749501714103484
B naive,mi_ksg,0.7488897998223679
CD14 Mono,mi_ksg,0.8438022450441843
CD16 Mono,mi_ksg,0.85128706419029
CD4 CTL,mi_ksg,0.6232871255576801
CD4 Naive,mi_ksg,0.6153295128939829
CD4 Proliferating,mi_ksg,0.7327321172371387
CD4 TCM,mi_ksg,0.6843266702219607
CD4 TEM,mi_ksg,0.7280935655308115
CD8 Naive,mi_ksg,0.7013792553615562
CD8 Proliferating,mi_ksg,0.6286124205779873
CD8 TCM,mi_ksg,0.7381522259454284
CD8 TEM,mi_ksg,0.7766403571713306
Eryth,mi_ksg,0.6817009077878643
HSPC,mi_ksg,0.488598376313276
ILC,mi_ksg,0.7174231831667974
MAIT,mi_ksg,0.746188786112286
NK,mi_ksg,0.8269460362941738
NK Proliferating,mi_ksg,0.7838467048710601
NK_CD56bright,mi_ksg,0.7618198201511613
Plasmablast,mi_ksg,0.6782213722208941
Platelet,mi_ksg,0.7913648064113792
Treg,mi_ksg,0.6826155030119683
cDC1,mi_ksg,0.7801725607884595
cDC2,mi_ksg,0.7315336837075967
dnT,mi_ksg,0.721595795508839
gdT,mi_ksg,0.7012428298279159
pDC,mi_ksg,0.8250670063423825
ASDC,ig_mlp,0.789984873815779
B intermediate,ig_mlp,0.8108667941363926
B memory,ig_mlp,0.8350952722634138
B naive,ig_mlp,0.7405205984832958
CD14 Mono,ig_mlp,0.839078629620784
CD16 Mono,ig_mlp,0.8134028456609101
CD4 CTL,ig_mlp,0.5883922880815806
CD4 Naive,ig_mlp,0.6335959885386819
CD4 Proliferating,ig_mlp,0.6353761016601762
CD4 TCM,ig_mlp,0.6679968370142886
CD4 TEM,ig_mlp,0.6821199360047077
CD8 Naive,ig_mlp,0.7581758749900342
CD8 Proliferating,ig_mlp,0.6725763476122156
CD8 TCM,ig_mlp,0.6612148289984575
CD8 TEM,ig_mlp,0.6988918121661485
Eryth,ig_mlp,0.4731485905398949
HSPC,ig_mlp,0.6715019102196753
ILC,ig_mlp,0.6880946697131944
MAIT,ig_mlp,0.7200389856378382
NK,ig_mlp,0.8459288443170965
NK Proliferating,ig_mlp,0.7563872970391595
NK_CD56bright,ig_mlp,0.7903234704573456
Plasmablast,ig_mlp,0.5934092204711378
Platelet,ig_mlp,0.869702518376987
Treg,ig_mlp,0.6214738741607622
cDC1,ig_mlp,0.8321454148620536
cDC2,ig_mlp,0.7430004777830865
dnT,ig_mlp,0.7348781653129479
gdT,ig_mlp,0.6378266411727215
pDC,ig_mlp,0.8240055197303824
