celltype,method,auc_rel
ASDC,spearman,0.9424198250728864
B intermediate,spearman,0.8689250884728639
B memory,spearman,0.8427321341759845
B naive,spearman,0.9772536942485884
CD14 Mono,spearman,0.913770053475936
CD16 Mono,spearman,0.8913472188453954
CD4 CTL,spearman,0.9803015564202334
CD4 Naive,spearman,0.910543390105434
CD4 Proliferating,spearman,0.775346462436178
CD4 TCM,spearman,0.9089494163424124
CD4 TEM,spearman,0.8910230434665154
CD8 Naive,spearman,0.9073443579766536
CD8 Proliferating,spearman,0.8626576978145176
CD8 TCM,spearman,0.9908449614117336
CD8 TEM,spearman,0.9890510948905108
Eryth,spearman,0.7682346814789099
HSPC,spearman,0.8977896526597037
ILC,spearman,0.8036582401555663
MAIT,spearman,0.9773077234784018
NK,spearman,0.9514462809917356
NK Proliferating,spearman,0.8593218279047156
NK_CD56bright,spearman,0.9677929022848808
Plasmablast,spearman,0.742586290714633
Platelet,spearman,0.8508142926592125
Treg,spearman,0.9537712895377128
cDC1,spearman,0.937641723356009
cDC2,spearman,0.9183276616431696
dnT,spearman,0.9343280229140536
gdT,spearman,0.983288770053476
pDC,spearman,0.915278115132378
ASDC,partial_corr,0.9303530936183998
B intermediate,partial_corr,0.8617932301375044
B memory,partial_corr,0.5855007292173068
B naive,partial_corr,0.7871248345354837
CD14 Mono,partial_corr,0.7893777345649003
CD16 Mono,partial_corr,0.6759867088094659
CD4 CTL,partial_corr,0.8698929961089494
CD4 Naive,partial_corr,0.9228304947283048
CD4 Proliferating,partial_corr,0.6052624469838183
CD4 TCM,partial_corr,0.903842412451362
CD4 TEM,partial_corr,0.8466650457897723
CD8 Naive,partial_corr,0.8751945525291829
CD8 Proliferating,partial_corr,0.6454061647351217
CD8 TCM,partial_corr,0.9387010459742156
CD8 TEM,partial_corr,0.9087996755879968
Eryth,partial_corr,0.6751952785974658
HSPC,partial_corr,0.5956278843818315
ILC,partial_corr,0.8200048614487118
MAIT,partial_corr,0.7621093011319123
NK,partial_corr,0.857620320855615
NK Proliferating,partial_corr,0.814110354885756
NK_CD56bright,partial_corr,0.6162493923189111
Plasmablast,partial_corr,0.6007535245503159
Platelet,partial_corr,0.5464268351968887
Treg,partial_corr,0.8156934306569343
cDC1,partial_corr,0.8982831227729187
cDC2,partial_corr,0.8276616431696645
dnT,partial_corr,0.8008499166931876
gdT,partial_corr,0.6855858045697618
pDC,partial_corr,0.7256254554287103
ASDC,mi_ksg,0.8579527048914805
B intermediate,mi_ksg,0.948456114758084
B memory,mi_ksg,0.90222411278561
B naive,mi_ksg,0.9446200394413378
CD14 Mono,mi_ksg,0.8856344190568789
CD16 Mono,mi_ksg,0.8587135640381446
CD4 CTL,mi_ksg,0.8929961089494164
CD4 Naive,mi_ksg,0.7865369018653691
CD4 Proliferating,mi_ksg,0.6865224086230651
CD4 TCM,mi_ksg,0.8686770428015564
CD4 TEM,mi_ksg,0.7466569414053003
CD8 Naive,mi_ksg,0.9159046692607004
CD8 Proliferating,mi_ksg,0.8059270065105222
CD8 TCM,mi_ksg,0.9135357466663718
CD8 TEM,mi_ksg,0.9053933495539336
Eryth,mi_ksg,0.8319736156917202
HSPC,mi_ksg,0.7854748603351955
ILC,mi_ksg,0.7747933884297521
MAIT,mi_ksg,0.808844584920442
NK,mi_ksg,0.861387943607195
NK Proliferating,mi_ksg,0.7961837627613029
NK_CD56bright,mi_ksg,0.8331307729703452
Plasmablast,mi_ksg,0.8886728245017015
Platelet,mi_ksg,0.9333981526494896
Treg,mi_ksg,0.8020275750202758
cDC1,mi_ksg,0.8797376093294461
cDC2,mi_ksg,0.9293874574623238
dnT,mi_ksg,0.8397139487429096
gdT,mi_ksg,0.854521147301896
pDC,mi_ksg,0.7925674034491135
ASDC,ig_mlp,0.8603822481373502
B intermediate,ig_mlp,0.8644406623983575
B memory,ig_mlp,0.7881016042780749
B naive,ig_mlp,0.8862144420131292
CD14 Mono,ig_mlp,0.6852211959163831
CD16 Mono,ig_mlp,0.8434773212307859
CD4 CTL,ig_mlp,0.949464980544747
CD4 Naive,ig_mlp,0.7659772911597729
CD4 Proliferating,ig_mlp,0.7038117621633304
CD4 TCM,ig_mlp,0.8261186770428015
CD4 TEM,ig_mlp,0.703919820622957
CD8 Naive,ig_mlp,0.9425583657587548
CD8 Proliferating,ig_mlp,0.8062511818894021
CD8 TCM,ig_mlp,0.7763870768006015
CD8 TEM,ig_mlp,0.8862530413625304
Eryth,ig_mlp,0.6208297170630099
HSPC,ig_mlp,0.7078455185814914
ILC,ig_mlp,0.779897909577054
MAIT,ig_mlp,0.9070156954912608
NK,ig_mlp,0.8200048614487118
NK Proliferating,ig_mlp,0.7212566844919787
NK_CD56bright,ig_mlp,0.8723869713174526
Plasmablast,ig_mlp,0.7316480311132717
Platelet,ig_mlp,0.8269931939718036
Treg,ig_mlp,0.7339821573398215
cDC1,ig_mlp,0.9217687074829932
cDC2,ig_mlp,0.8847836655323287
dnT,ig_mlp,0.7876705917591778
gdT,ig_mlp,0.970770539620807
pDC,ig_mlp,0.8771921301918872
