celltype,method,auc_rel
ASDC,spearman,0.956511175898931
B intermediate,spearman,0.8704919361374504
B memory,spearman,0.8475935828877005
B naive,spearman,0.9773617527082152
CD14 Mono,spearman,0.9126154594069033
CD16 Mono,spearman,0.8918875111435286
CD4 CTL,spearman,0.9804961089494164
CD4 Naive,spearman,0.9132603406326034
CD4 Proliferating,spearman,0.7712402409703649
CD4 TCM,spearman,0.914250972762646
CD4 TEM,spearman,0.8904287219385688
CD8 Naive,spearman,0.9044747081712062
CD8 Proliferating,spearman,0.8722749007212902
CD8 TCM,spearman,0.9891200990690168
CD8 TEM,spearman,0.9896188158961882
Eryth,spearman,0.6388127061274085
HSPC,spearman,0.8817585620597522
ILC,spearman,0.7840909090909091
MAIT,spearman,0.9762271388821352
NK,spearman,0.9463417598444336
NK Proliferating,spearman,0.8704423918327662
NK_CD56bright,spearman,0.9674890617403986
Plasmablast,spearman,0.7417355371900827
Platelet,spearman,0.8525765678172095
Treg,spearman,0.9379156528791566
cDC1,spearman,0.9414480077745384
cDC2,spearman,0.9165046183762762
dnT,spearman,0.966714716288822
gdT,spearman,0.9825595527467184
pDC,spearman,0.9176099101287344
ASDC,partial_corr,0.9511661807580176
B intermediate,partial_corr,0.8232163600507875
B memory,partial_corr,0.5679387457462324
B naive,partial_corr,0.8267282599886538
CD14 Mono,partial_corr,0.6868619348565873
CD16 Mono,partial_corr,0.6210389820893103
CD4 CTL,partial_corr,0.880204280155642
CD4 Naive,partial_corr,0.8206001622060016
CD4 Proliferating,partial_corr,0.5482616095307561
CD4 TCM,partial_corr,0.8765077821011673
CD4 TEM,partial_corr,0.7439014506848205
CD8 Naive,partial_corr,0.7982976653696499
CD8 Proliferating,partial_corr,0.7270983602128752
CD8 TCM,partial_corr,0.7958028349660556
CD8 TEM,partial_corr,0.8905109489051095
Eryth,partial_corr,0.4171150841867731
HSPC,partial_corr,0.4961379645372844
ILC,partial_corr,0.7750972289742343
MAIT,partial_corr,0.6956533484615177
NK,partial_corr,0.7499392318911036
NK Proliferating,partial_corr,0.7094069032571706
NK_CD56bright,partial_corr,0.5326932425862907
Plasmablast,partial_corr,0.4566723383568303
Platelet,partial_corr,0.5893291200777832
Treg,partial_corr,0.7079075425790754
cDC1,partial_corr,0.9504373177842566
cDC2,partial_corr,0.6234200291686923
dnT,partial_corr,0.6443828743658386
gdT,partial_corr,0.5694579484686436
pDC,partial_corr,0.6311877580762691
ASDC,mi_ksg,0.9140751538710722
B intermediate,mi_ksg,0.9370559472674715
B memory,mi_ksg,0.8652771025765679
B naive,mi_ksg,0.9466191209444308
CD14 Mono,mi_ksg,0.8962080700048615
CD16 Mono,mi_ksg,0.858281330199638
CD4 CTL,mi_ksg,0.8943579766536965
CD4 Naive,mi_ksg,0.7832927818329278
CD4 Proliferating,mi_ksg,0.7463867952562336
CD4 TCM,mi_ksg,0.8660505836575876
CD4 TEM,mi_ksg,0.7235864602750087
CD8 Naive,mi_ksg,0.8828793774319066
CD8 Proliferating,mi_ksg,0.8398033336034795
CD8 TCM,mi_ksg,0.8578094248247495
CD8 TEM,mi_ksg,0.90433901054339
Eryth,mi_ksg,0.5845860093733727
HSPC,mi_ksg,0.6818071411221763
ILC,mi_ksg,0.7535245503159942
MAIT,mi_ksg,0.8499608288083853
NK,mi_ksg,0.861934856587263
NK Proliferating,mi_ksg,0.6704545454545454
NK_CD56bright,mi_ksg,0.7805055906660184
Plasmablast,mi_ksg,0.8853305785123967
Platelet,mi_ksg,0.9333373845405932
Treg,mi_ksg,0.8588807785888077
cDC1,mi_ksg,0.8991739552964043
cDC2,mi_ksg,0.9235537190082644
dnT,mi_ksg,0.7744538255611509
gdT,mi_ksg,0.8837506076810889
pDC,mi_ksg,0.8245324265241681
ASDC,ig_mlp,0.8942338840298024
B intermediate,ig_mlp,0.91625469378934
B memory,ig_mlp,0.9132839086047644
B naive,ig_mlp,0.9445119809817112
CD14 Mono,ig_mlp,0.7885877491492465
CD16 Mono,ig_mlp,0.8522300564605452
CD4 CTL,ig_mlp,0.9196498054474708
CD4 Naive,ig_mlp,0.7714111922141119
CD4 Proliferating,ig_mlp,0.7240186941135154
CD4 TCM,ig_mlp,0.8162451361867704
CD4 TEM,ig_mlp,0.7214793203122889
CD8 Naive,ig_mlp,0.9215466926070038
CD8 Proliferating,ig_mlp,0.7943647513304698
CD8 TCM,ig_mlp,0.8545808363371
CD8 TEM,ig_mlp,0.8431873479318734
Eryth,ig_mlp,0.713660822773824
HSPC,ig_mlp,0.7845032790867136
ILC,ig_mlp,0.7457462323772485
MAIT,ig_mlp,0.8590377394170247
NK,ig_mlp,0.8413952357802625
NK Proliferating,ig_mlp,0.8288770053475936
NK_CD56bright,ig_mlp,0.8463782207097715
Plasmablast,ig_mlp,0.5489790957705396
Platelet,ig_mlp,0.9363150218765192
Treg,ig_mlp,0.8055555555555556
cDC1,ig_mlp,0.8537414965986394
cDC2,ig_mlp,0.9090301409820126
dnT,ig_mlp,0.8685062807720388
gdT,ig_mlp,0.8958434613514827
pDC,ig_mlp,0.8650473645858635
