gene_name,ASDC,B intermediate,B memory,B naive,CD14 Mono,CD16 Mono,CD4 CTL,CD4 Naive,CD4 Proliferating,CD4 TCM,CD4 TEM,CD8 Naive,CD8 Proliferating,CD8 TCM,CD8 TEM,Eryth,HSPC,ILC,MAIT,NK,NK Proliferating,NK_CD56bright,Plasmablast,Platelet,Treg,cDC1,cDC2,dnT,gdT,pDC
HES4,-4.54805e-05,-0.0014650072,-0.0046659205,-0.010176537,-0.008881404,0.13125636,-0.0024768314,-0.019786714,-0.00013908687,-0.019202448,-0.0055620107,-0.015215751,-0.00018409891,-0.003986088,-0.014475209,-9.845241e-05,-0.00044795976,-9.03459e-05,-0.0031262047,-0.005716726,-0.000117054034,-0.0014497698,-0.0004842046,-0.0029321287,-0.002863073,-0.00016601548,-0.0020224946,-0.00043928387,-0.004179996,-0.00086056563
ISG15,6.5599625e-06,-0.0024902613,-0.005544371,-0.017637694,0.04615951,0.034731667,-0.000563711,-0.032926667,0.00048276377,-0.008751406,-0.003480292,-0.016786965,0.0002870881,-0.004177572,-0.0038650164,-0.0002699606,-0.0010616885,6.334882e-05,0.00027830835,0.023790319,0.0006935933,-8.177403e-05,0.00024641014,-0.006290145,-0.004042933,6.318159e-05,0.0020865246,0.00061317754,-0.0004231835,-0.0011089044
TNFRSF18,-9.992507e-05,-0.0019281964,-0.003316238,-0.00604997,-0.056036625,-0.008417984,0.00019493328,-0.023273421,0.00013154792,0.015350677,0.004609117,-0.014356275,0.00027155265,-0.0021650908,-0.0024267642,-0.000108056,0.00012635422,0.0024653443,-0.0008866751,0.08917986,0.0018331122,0.012166283,-0.00020376149,-0.002277663,-0.00046631164,-0.000233232,-0.0033665646,-0.0005300705,0.0010230626,-0.0012085652
TNFRSF4,-1.7581977e-05,-0.0031473334,-0.004161126,-0.009208044,-0.052802224,-0.007504449,-0.0012037245,-0.017799988,2.4159775e-05,0.08431852,0.012672644,-0.013534149,-5.621786e-05,2.412012e-05,-0.008598323,-0.00012689242,-8.899132e-05,0.0021807125,-0.0014229013,0.023928171,-9.643664e-05,0.0019095408,-0.0003670287,-0.0021868108,0.0035239235,-0.00020451054,-0.0032355385,-0.00035195795,-0.0014220824,-0.0010457727
HES5,-3.3673614e-06,-9.05339e-05,-0.00013132606,-0.00030055823,-0.0005538273,0.001634511,-7.119558e-05,-0.00066625804,-3.8484195e-06,-0.0005760113,-0.00016134525,-0.00041591335,-4.6180558e-06,-0.000110448666,-0.00045276716,-3.4635846e-06,-1.23148375e-05,-3.848418e-06,-0.00010688938,0.0025765686,-1.8857198e-05,-3.636754e-05,-1.47201745e-05,-8.6493004e-05,-9.313124e-05,-6.349848e-06,-9.572948e-05,-1.4431512e-05,-0.00014354604,-3.2903776e-05
PRDM16,-6.117444e-06,0.00043347888,-0.00023857914,4.8716403e-05,-0.0029573187,-0.000442373,-0.00012933864,-0.0012103681,-6.991382e-06,-0.0010464183,-0.00029311044,-0.00075558247,-8.389593e-06,-0.00020065022,0.0011396719,-6.2921786e-06,0.0021343809,-6.991385e-06,-0.00019418406,0.00012327715,-3.425718e-05,0.0015750363,-2.674168e-05,-0.00015713017,-0.00016918969,-1.1535691e-05,6.172875e-05,-2.6217444e-05,0.002471299,-5.9775422e-05
RBP7,-0.00022839695,-0.006120832,-0.008881314,-0.019769719,0.2874121,0.0028758578,-0.0048031216,-0.045206152,-0.0002528431,-0.03957141,-0.010622973,-0.02844658,-0.0003326394,-0.0077349017,-0.030034188,-0.00010577513,-0.00088704325,-0.00027720098,-0.0073115258,-0.044657733,-0.0012822662,-0.0025573447,-0.0010067812,-0.0046322085,-0.0063927122,-0.00045737912,-0.006199102,-0.0010263901,-0.009261976,-0.0022266035
PGD,3.5020457e-05,-0.0057320893,-0.0072200927,-0.020588305,0.26531622,0.004488791,-0.004844977,-0.04482805,-9.350606e-05,-0.04040116,-0.01123067,-0.028642008,-0.00017379459,-0.007654403,-0.030021615,-0.00012810131,0.0002405838,-0.00030598405,-0.007991974,-0.0426577,-0.00066846714,-0.002501153,-0.0006490193,0.00015294676,-0.006577672,-0.00016125035,0.0014556382,-0.0010267013,-0.0093123615,0.001721669
TNFRSF1B,-1.5247587e-05,-0.00684459,-0.01269542,-0.035833035,0.26624006,0.060405128,-0.0006269689,-0.08247459,-5.35424e-05,-0.046950806,-0.010672093,-0.053838067,-0.00018339057,-0.010627801,-0.015315053,-0.0003140425,-0.0016807879,-0.00050787895,-0.007840243,-0.012709913,-0.00058110646,-0.0035479201,-0.001834804,-0.009740302,-0.003967876,-0.0007383155,0.0026962045,-0.0013114156,-0.00632104,-0.002115086
FAM131C,-1.3628486e-06,-3.664128e-05,-5.3150965e-05,-0.000121643796,-0.0006588389,-9.855351e-05,-2.8814522e-05,-0.00026964964,-1.5575375e-06,-0.00023312536,-6.530003e-05,-0.00016833132,-1.8690513e-06,-4.4701403e-05,0.00087193877,-1.401781e-06,-4.9841187e-06,-1.5575367e-06,-4.3260647e-05,-0.00027237495,-7.631955e-06,-1.4718801e-05,0.0002647699,-3.500588e-05,-3.769255e-05,-2.5699426e-06,0.0004274052,-5.840755e-06,-5.8096273e-05,0.0007045596
