gene_name,ASDC,B intermediate,B memory,B naive,CD14 Mono,CD16 Mono,CD4 CTL,CD4 Naive,CD4 Proliferating,CD4 TCM,CD4 TEM,CD8 Naive,CD8 Proliferating,CD8 TCM,CD8 TEM,Eryth,HSPC,ILC,MAIT,NK,NK Proliferating,NK_CD56bright,Plasmablast,Platelet,Treg,cDC1,cDC2,dnT,gdT,pDC
HES4,0.0006360436,0.00018970293,-0.0019095691,-0.00025180524,0.022892209,0.06372295,-0.008092422,-0.0027786065,0.011283942,0.004422738,-3.3300196e-09,0.0028420065,-9.313226e-11,-0.0048206276,0.002527121,-0.08244486,-0.0025709623,-3.124437e-09,0.001966881,-0.0067858733,0.0012426175,1.0442102e-09,-0.0021990146,-0.0030344385,0.003646712,0.00051165506,0.0033168173,0.0027939123,0.008294763,-0.01359292
ISG15,0.008700389,-0.005551102,-0.011434287,-0.01241719,0.013135372,-0.0065361857,-0.018926876,0.010610767,0.024050606,0.008672313,0.01764041,-0.006145969,-0.007104405,-0.016460845,-0.007626569,-0.01192992,0.0044361996,0.015542446,0.03882549,-0.0065605175,-0.015146841,-0.0051054945,0.0060517965,-0.008468472,0.009572419,-0.028948644,-0.023007406,-0.034458343,0.015844654,0.00069554406
TNFRSF18,1.102882e-10,-0.009098362,-0.008363462,-0.0045003677,0.00017564461,-0.00047957743,-0.00813415,-3.1864118e-09,-0.0046671717,-0.03519743,0.020602101,-0.0005589802,-0.01388408,0.019307068,0.008664262,0.00048088463,-0.0031112544,0.10810321,0.010695621,-0.023739489,-5.510241e-05,0.0071587344,-0.0081087,-3.2061925e-10,-0.01983628,2.7939677e-09,-0.00052754063,3.8552423e-09,0.042934712,-0.015675263
TNFRSF4,0.005116628,8.4119456e-10,-0.0030267683,0.0032211803,-0.0017827707,-0.0006648255,0.00307907,-0.0029805412,-0.01656854,-0.014180452,0.055932604,0.004123127,6.2864275e-10,-0.039826717,0.006003291,0.029861761,0.0125022475,-0.13861527,0.050707716,-0.0035233258,-0.008194936,-0.008489147,-0.0042452915,0.0002513719,-0.047015827,0.0038905304,-0.0020609894,-7.363946e-10,0.031909756,0.012487511
AJAP1,0.0,-6.759599e-11,6.066714e-11,8.9304904e-11,1.4050125e-11,1.0123072e-11,1.5733358e-10,0.013292057,-1.4816495e-10,3.7845263e-10,-3.539838e-10,6.073843e-11,1.0477379e-10,6.797975e-12,-1.4624074e-10,4.4775125e-11,-8.8098084e-11,-2.1029864e-10,-1.0007633e-10,3.5347225e-10,1.0898456e-10,1.1288759e-10,0.0,-4.7234085e-11,2.3057015e-10,0.0,-8.329717e-11,3.681973e-10,7.8659e-11,0.108458705
AL359881.3,-2.4508489e-11,3.755333e-12,4.918957e-12,3.6147224e-11,1.379923e-11,-9.110764e-11,-8.99049e-11,-7.321718e-13,-9.52489e-11,-3.0440754e-11,1.423465e-11,3.8651728e-11,-4.656613e-11,-1.4785595e-10,-1.5393761e-11,-6.7162685e-11,-6.2927203e-12,-1.4270266e-10,1.266272e-10,-6.454711e-11,2.4769217e-12,-9.701277e-12,7.1142697e-12,-2.194715e-11,-5.1991307e-11,-8.731149e-11,2.0071608e-11,1.5567166e-11,-4.71954e-12,-7.2759576e-11
SLC2A5,-1.22542445e-11,0.037809826,0.006699919,-0.05264707,0.004043372,0.0052247033,2.351359e-10,-2.5772448e-10,5.5032695e-10,1.0757105e-10,4.5483195e-10,0.010419281,2.73576e-10,-6.526056e-10,4.6181284e-11,8.0595225e-11,-0.00867683,4.806826e-10,-5.2284777e-10,-5.5326094e-11,-1.2879993e-10,5.926598e-10,-0.023709962,2.4046443e-10,-1.3110851e-10,8.537124e-10,2.8903113e-10,9.313226e-10,-1.9271455e-10,-2.910383e-10
MIR34AHG,-7.3525463e-11,-4.776314e-11,4.754992e-11,-7.229445e-11,-5.0320147e-11,-0.014725358,4.6105078e-10,4.6858996e-11,5.2916057e-11,-2.4681693e-12,-2.3689163e-11,-0.012475941,5.6024872e-11,-1.4275747e-10,-1.3950597e-11,-3.4029093e-10,6.921992e-11,2.403413e-10,3.6762732e-11,-0.0033679726,6.4399965e-11,-4.938832e-11,0.014792616,-1.4790471e-11,3.0516636e-10,-9.337479e-11,1.3397798e-10,-1.29952e-10,1.2664099e-10,-1.9099389e-10
RBP7,-7.058445e-09,-0.0019605248,-0.08585594,-0.0017997746,-0.09196077,-0.008512791,-0.10537959,0.0052749617,-0.0262511,0.0005322419,0.00032423835,5.4968383e-05,3.1664968e-09,1.1746901e-08,0.0187508,0.004806946,2.8002606e-10,0.025076693,0.018387029,0.034850642,5.6275664e-09,0.016896259,0.004717691,-0.038047854,0.039116748,-0.006601331,0.00079140934,7.104042e-09,0.00042618232,0.003696217
SRM,-0.047535278,-0.002233639,-0.010004126,-0.012816611,0.002248086,0.002691512,0.030864377,-0.0019253355,0.009632028,0.0062930766,0.00073705346,-0.013987635,0.0066126967,-0.03970741,-0.016530277,-0.010379304,0.03663827,-0.008508729,0.0070532467,0.0060959393,0.0024663645,-0.023113066,-0.0065281563,-0.0023524354,0.025104247,0.027283201,0.006219813,-0.046934206,0.008137566,-0.0076858653
