gene_name,ASDC,B intermediate,B memory,B naive,CD14 Mono,CD16 Mono,CD4 CTL,CD4 Naive,CD4 Proliferating,CD4 TCM,CD4 TEM,CD8 Naive,CD8 Proliferating,CD8 TCM,CD8 TEM,Eryth,HSPC,ILC,MAIT,NK,NK Proliferating,NK_CD56bright,Plasmablast,Platelet,Treg,cDC1,cDC2,dnT,gdT,pDC
HES4,-0.00054639817,-0.005981517,-0.0070699393,-0.010996141,0.004665153,0.12233048,-0.004723942,-0.010922863,-0.0006690328,-0.01362979,-0.009223552,-0.013077055,-0.0010725105,-0.0060454924,-0.011567951,0.0009177824,-0.001560936,-0.0016623889,-0.0024877205,0.002327209,-0.0021458087,-0.0035392793,-0.0020151383,-0.005090653,-0.0047451034,-0.0010119524,-0.0028246113,-0.0018106832,-0.0058620647,4.2383897e-05
ISG15,0.00023603391,-0.0029214823,-0.008793968,-0.02203691,0.023372876,0.037625153,0.0015338362,-0.015809817,0.005364308,0.00024082202,-0.009007521,-0.014857746,0.003446331,-0.0046810387,-0.003926882,-0.0016449208,-0.004265098,0.001308754,0.0042162915,0.022323629,0.0037818819,-0.0011070834,0.0009036461,-0.013878553,-0.0022959204,0.0019492925,0.0014764458,-2.7968168e-05,0.00012296197,-0.0026474658
TNFRSF18,-0.001128996,-0.005119939,-0.006244837,-0.0053911554,-0.025635552,-0.010479372,-7.677185e-05,-0.018895771,-0.00054412213,0.012262701,0.004446579,-0.014482194,0.00038233158,-0.0027592,-0.005159857,-0.001088598,9.987274e-05,0.030404704,3.3767633e-06,0.045688134,9.770212e-05,0.026737772,-0.00043300667,-0.0072493604,-0.0011692308,-0.0021391292,-0.0065770866,-0.0025551014,0.00017052403,-0.003164163
TNFRSF4,4.5827055e-06,-0.0074598645,-0.007562527,-0.012676549,-0.024896773,-0.008981764,-0.0051999637,-0.0130833415,-0.00041319014,0.063825734,0.020099387,-0.012570237,-0.0012031981,0.0014163167,-0.009100547,-0.0005753309,-0.000624598,0.023274196,-0.0026814395,0.015828777,-0.001159908,0.008316151,-0.0021606928,-0.005908345,0.0014178939,-0.0017611465,-0.006694314,-0.0025869063,-0.0039072507,-0.0029750771
AJAP1,-0.00024837937,-0.0016210112,-0.0018563126,-0.002862955,-0.00606567,-0.0024053985,-0.0013203528,0.007320701,-0.00028760216,-0.003699578,-0.0022484928,-0.0033074152,-0.00026145214,-0.0017909621,-0.003163586,-0.00033989266,-0.0004836836,-0.0004052522,-0.0014903052,-0.003961008,-0.0006144215,-0.00086280465,-0.0005882714,-0.0015948778,-0.0013464917,-0.00047062038,-0.0015164189,-0.00056212355,-0.0019347346,0.039989736
AL359881.3,-3.000117e-15,-4.817042e-15,8.090204e-15,-6.4721627e-15,-1.8877141e-15,4.557481e-15,-8.5621325e-16,-1.766361e-14,1.1191448e-15,-2.6212258e-14,3.5057548e-16,-1.1838664e-14,3.2360812e-16,-1.652424e-14,2.1826694e-15,5.7710117e-15,-1.2944325e-15,4.402419e-15,-3.0742773e-15,-8.649776e-15,-1.2378011e-14,2.676509e-15,-5.5417893e-15,-7.52389e-15,-8.063236e-15,-5.7710117e-15,-7.995817e-15,8.090203e-17,4.557481e-15,-4.085553e-15
SLC2A5,-0.00039285937,0.003369686,0.003241356,0.041195065,-0.0065265917,-0.0011007024,-0.0020883807,-0.006575249,-0.00045489104,-0.00585158,-0.0035564345,-0.002770052,-0.00041353586,-0.002832723,-0.0050037955,-0.0005375936,0.005012782,-0.00064098457,-0.0023571737,-0.006265106,-0.00097181846,-0.0013646808,0.009953458,-0.0025225922,-0.0021297238,-0.00074436644,-0.002398525,-0.0008891022,-0.0030602047,-0.0013233082
MIR34AHG,-0.00015527401,-0.0010133652,-0.0011604687,-0.001789726,-0.0037919565,0.0071635796,-0.00082540064,-0.0025987953,-0.00017979025,-0.0023127636,-0.0014056416,0.0051810816,-0.00016344605,-0.001119605,-0.0019777105,-0.0002124802,-0.00030237343,-0.0002533414,-0.0009316395,0.006613489,-0.00038409795,-0.0005393712,0.0073239147,-0.0009970304,-0.00084174983,-0.00029420227,-0.0009479916,-0.00035141077,-0.0012094948,-0.0005230264
RBP7,-0.0013665818,-0.007658426,-0.0065833447,-0.011050618,0.17851458,0.016965032,-0.0063913562,-0.020239666,-0.0009633561,-0.018959854,-0.010462345,-0.017733227,-0.0014385058,-0.009853718,-0.015395285,2.760496e-05,-0.0026612442,-0.0017875022,-0.007003654,-0.0121122785,-0.0033804537,-0.004114178,-0.0030394702,-0.0042760605,-0.0061554057,-0.0023592275,-0.0069623166,-0.0030927951,-0.00691065,-0.0035547407
SRM,0.0033195675,0.0034344874,0.001237016,-0.0026669074,-0.012807265,-0.0017477078,0.0019891723,-0.011154327,0.0015833289,0.000685723,-0.0010594543,0.004231963,0.0037665667,-0.00033162662,-0.0041583898,-0.0025097665,0.0026534426,-0.0018829148,0.006341755,-0.0065337224,0.0023090232,-0.0022024561,0.01527509,-0.008636588,-0.0016619518,0.0016385359,0.010471851,-0.0009877655,-0.0010035129,0.00040680682
