celltype,protein,score,lfc,padj,genes,genes_in_universe
ASDC,CD271,14.741431,7.8349714,7.964065661270087e-47,['CD271'],[]
ASDC,CD71,12.825994,3.4417534,4.456383268051295e-36,['TFRC'],['TFRC']
ASDC,CD22,12.134992,4.1783113,1.4284621845872985e-32,['CD22'],['CD22']
ASDC,CD366,11.800757,2.5773003,7.349503441565109e-31,['CD366'],[]
ASDC,CLEC12A,11.66116,4.2646923,3.530162894692577e-30,['CLEC12A'],['CLEC12A']
ASDC,CD305,11.619715,1.9841927,5.329137313846963e-30,['CD305'],[]
ASDC,CD38-2,11.462202,2.1018007,2.910615842551314e-29,['CD38'],['CD38']
ASDC,HLA-DR,11.370044,3.0516427,7.907278579581318e-29,"['HLA-DRA', 'HLA-DRB1']","['HLA-DRA', 'HLA-DRB1']"
ASDC,CD38-1,11.230246,2.0072944,3.6691626773582576e-28,['CD38'],['CD38']
ASDC,CD72,11.108789,3.2690403,1.3642817321419186e-27,['CD72'],['CD72']
B intermediate,CD19,42.238415,5.056276,0.0,['CD19'],['CD19']
B intermediate,CD72,41.810535,6.374158,0.0,['CD72'],['CD72']
B intermediate,CD196,40.89477,3.0363917,0.0,['CCR6'],['CCR6']
B intermediate,CD22,40.833622,5.3399186,0.0,['CD22'],['CD22']
B intermediate,CD79b,36.048428,3.5620773,3.3281156562752193e-283,['CD79B'],['CD79B']
B intermediate,CD39,34.6512,4.598295,8.141705669756452e-262,['ENTPD1'],['ENTPD1']
B intermediate,CD45RA,33.904774,2.858799,8.611290347197946e-251,['PTPRC'],['PTPRC']
B intermediate,CD52,31.801844,1.1293665,8.186791579381634e-221,['CD52'],['CD52']
B intermediate,HLA-DR,30.980295,2.7268991,1.1920565424269462e-209,"['HLA-DRA', 'HLA-DRB1']","['HLA-DRA', 'HLA-DRB1']"
B intermediate,CD275-2,29.756966,3.6107805,1.5299650732631768e-193,['ICOSLG'],['ICOSLG']
B memory,CD19,45.040573,4.9244466,0.0,['CD19'],['CD19']
B memory,CD22,44.489883,5.478655,0.0,['CD22'],['CD22']
B memory,CD196,42.341805,2.759859,0.0,['CCR6'],['CCR6']
B memory,CD35,40.90072,2.470745,0.0,['CD35'],[]
B memory,CD73,38.01137,3.246509,0.0,['NT5E'],['NT5E']
B memory,CD39,37.34022,4.6000476,9.256525515217062e-304,['ENTPD1'],['ENTPD1']
B memory,CD45RA,37.036396,2.8634918,6.780029895428726e-299,['PTPRC'],['PTPRC']
B memory,CD72,32.976788,3.55718,2.846911882131264e-237,['CD72'],['CD72']
B memory,HLA-DR,31.461832,2.455001,4.121158878748222e-216,"['HLA-DRA', 'HLA-DRB1']","['HLA-DRA', 'HLA-DRB1']"
B memory,CD52,30.573982,1.0070287,3.438734325764025e-204,['CD52'],['CD52']
B naive,CD72,59.253086,7.6744576,0.0,['CD72'],['CD72']
B naive,CD22,57.500244,6.137686,0.0,['CD22'],['CD22']
B naive,CD19,56.132763,5.043426,0.0,['CD19'],['CD19']
B naive,CD275-2,53.712082,5.4906073,0.0,['ICOSLG'],['ICOSLG']
B naive,CD196,53.584236,2.8882778,0.0,['CCR6'],['CCR6']
B naive,HLA-DR,49.337162,3.4561846,0.0,"['HLA-DRA', 'HLA-DRB1']","['HLA-DRA', 'HLA-DRB1']"
B naive,CD79b,46.537304,3.3746443,0.0,['CD79B'],['CD79B']
B naive,CD73,45.790314,2.9067564,0.0,['NT5E'],['NT5E']
B naive,CD305,44.791626,1.7764418,0.0,['CD305'],[]
B naive,CD35,44.639317,1.9195981,0.0,['CD35'],[]
CD4 CTL,TCR-2,30.290377,1.9220229,3.49940730020609e-199,"['TRAC', 'TRBC1', 'TRBC2']","['TRAC', 'TRBC1', 'TRBC2']"
CD4 CTL,CD4-1,29.941969,2.6990316,6.381250528727744e-195,['CD4'],['CD4']
CD4 CTL,CD2,29.383656,2.0570233,6.75121269145678e-188,['CD2'],['CD2']
CD4 CTL,CD109,28.180878,1.6572953,4.5744999332904734e-173,['CD109'],['CD109']
CD4 CTL,CD3-2,27.259441,2.1069713,4.1833134109665156e-162,"['CD3D', 'CD3E', 'CD3G']","['CD3D', 'CD3E', 'CD3G']"
CD4 CTL,CD43,27.04663,0.92444485,1.1925718431341053e-159,['CD43'],[]
CD4 CTL,CD271,26.436365,3.990385,1.3263222414427949e-152,['CD271'],[]
CD4 CTL,CD3-1,25.839476,1.979164,7.284516645517351e-146,"['CD3D', 'CD3E', 'CD3G']","['CD3D', 'CD3E', 'CD3G']"
CD4 CTL,CD81,20.876133,0.87086964,1.5477754997147905e-95,['CD81'],['CD81']
CD4 CTL,CD57,20.813808,0.8880411,5.284906141389561e-95,['B3GAT1'],['B3GAT1']
CD4 Naive,CD4-1,59.020508,2.9968412,0.0,['CD4'],['CD4']
CD4 Naive,CD109,57.62144,2.1071866,0.0,['CD109'],['CD109']
CD4 Naive,CD3-2,56.777077,2.440217,0.0,"['CD3D', 'CD3E', 'CD3G']","['CD3D', 'CD3E', 'CD3G']"
CD4 Naive,TCR-2,54.438465,2.0713432,0.0,"['TRAC', 'TRBC1', 'TRBC2']","['TRAC', 'TRBC1', 'TRBC2']"
CD4 Naive,CD3-1,53.904133,2.30873,0.0,"['CD3D', 'CD3E', 'CD3G']","['CD3D', 'CD3E', 'CD3G']"
CD4 Naive,CD27,53.87061,2.4586089,0.0,['CD27'],['CD27']
