celltype,n_drivers,drivers
CD4 Naive,13,"CD109, CD27, CD28, CD3D, CD3E, CD3G, CD4, DPP4, ICOS, PTPRC, TRAC, TRBC1, TRBC2"
dnT,13,"CD27, CD28, CD3D, CD3E, CD3G, CD81, ICOS, KLRK1, PECAM1, PTPRC, TRAC, TRBC1, TRBC2"
CD4 TEM,12,"CD109, CD2, CD28, CD3D, CD3E, CD3G, CD4, CD99, DPP4, IL7R, PDCD1, PTPRC"
CD4 TCM,12,"CD109, CD2, CD28, CD3D, CD3E, CD3G, CD4, CD52, DPP4, ICOS, IL7R, PTPRC"
CD8 TEM,12,"B3GAT1, CD2, CD3D, CD3E, CD3G, CD8A, CD8B, CD99, KLRK1, TRAC, TRBC1, TRBC2"
CD4 CTL,11,"B3GAT1, CD109, CD2, CD3D, CD3E, CD3G, CD4, CD81, TRAC, TRBC1, TRBC2"
B intermediate,11,"CCR6, CD19, CD22, CD52, CD72, CD79B, ENTPD1, HLA-DRA, HLA-DRB1, ICOSLG, PTPRC"
Treg,11,"CD109, CD27, CD28, CD3D, CD3E, CD3G, CD4, ICOS, TRAC, TRBC1, TRBC2"
CD8 Proliferating,10,"CD2, CD3D, CD3E, CD3G, CD8A, CD8B, ICOS, ITGA4, KLRK1, PDCD1"
B memory,10,"CCR6, CD19, CD22, CD52, CD72, ENTPD1, HLA-DRA, HLA-DRB1, NT5E, PTPRC"
MAIT,10,"CCR5, CD2, CD28, CD48, CD81, CD8A, CD8B, DPP4, IL7R, PTPRC"
CD4 Proliferating,9,"CD109, CD28, CD38, CD4, FAS, ICOS, PDCD1, PTPRC, TFRC"
B naive,9,"CCR6, CD19, CD22, CD72, CD79B, HLA-DRA, HLA-DRB1, ICOSLG, NT5E"
CD16 Mono,9,"ANPEP, CLEC12A, ENTPD1, FCGR3A, FCGR3B, ITGA4, ITGAX, PECAM1, SIRPA"
gdT,9,"B3GAT1, CD3D, CD3E, CD3G, CD81, CD99, KLRK1, PDCD1, PTPRC"
CD8 TCM,9,"CD2, CD28, CD48, CD8A, CD8B, CD99, DPP4, IL7R, KLRK1"
CD14 Mono,8,"CD14, CD55, CD93, CLEC12A, ITGAM, ITGAX, PECAM1, SIRPA"
CD8 Naive,8,"CD27, CD8A, CD8B, ICOS, IL7R, KLRK1, NT5E, PTPRC"
cDC1,8,"ANPEP, CD72, CD93, DPP4, ENTPD1, ICOSLG, ITGA4, TFRC"
NK_CD56bright,8,"CD2, CD244, CD38, CD44, FCGR3A, FCGR3B, KLRK1, PTPRC"
NK,8,"B3GAT1, CD244, CD38, FCGR3A, FCGR3B, ITGB2, KLRK1, PTPRC"
NK Proliferating,8,"CD244, CD38, CX3CR1, FCGR3A, FCGR3B, ITGB2, KLRK1, NCAM1"
pDC,8,"CD109, CD9, HLA-DRA, HLA-DRB1, ICOSLG, ITGA2B, PECAM1, TFRC"
Platelet,8,"CD226, CD9, CLEC1B, GP1BA, ITGA2, ITGA2B, ITGB1, ITGB3"
cDC2,8,"CCR5, CD63, CLEC12A, HLA-DRA, HLA-DRB1, ITGAX, SIRPA, TFRC"
Plasmablast,8,"CD19, CD27, CD38, CD48, ENTPD1, ICOSLG, ITGA4, TFRC"
ASDC,7,"CD22, CD38, CD72, CLEC12A, HLA-DRA, HLA-DRB1, TFRC"
Eryth,7,"CCR10, CD14, CD47, CD55, FAS, LAMP1, TFRC"
ILC,7,"CD44, CD46, ICOSLG, IL7R, ITGAM, PTPRC, TFRC"
HSPC,6,"CCR4, CD244, CD99, MERTK, PECAM1, TFRC"
