,default,tuned
ASDC,0.9452054794520548,0.9271523178807947
B intermediate,0.829302987197724,0.8425302826379543
B memory,0.9153936545240893,0.9067949488875526
B naive,0.9482560367957071,0.9516380655226209
CD14 Mono,0.9702838063439065,0.9696666666666667
CD16 Mono,0.9624630957401941,0.9573659772055719
CD4 CTL,0.9203539823008849,0.9369951534733441
CD4 Naive,0.8778979907264297,0.8918377566349525
CD4 Proliferating,0.803347280334728,0.8384279475982532
CD4 TCM,0.7610619469026548,0.7793729856431292
CD4 TEM,0.7121067683508103,0.7258145363408521
CD8 Naive,0.9244532803180915,0.9320705421293273
CD8 Proliferating,0.7428571428571429,0.8066298342541437
CD8 TCM,0.8038095238095239,0.8025641025641026
CD8 TEM,0.8950031625553447,0.9023763648041104
Eryth,0.9176470588235294,0.9341317365269461
HSPC,0.9905482041587902,0.9924528301886792
ILC,0.9621212121212122,0.9555555555555556
MAIT,0.9258566978193147,0.9349336702463676
NK,0.9527806925498427,0.9587036069001568
NK Proliferating,0.9187592319054653,0.9248895434462445
NK_CD56bright,0.9233997901364114,0.9286474973375932
Plasmablast,0.9787234042553191,0.9892857142857143
Platelet,0.9506790564689064,0.9512893982808023
Treg,0.7961414790996785,0.8173455978975033
cDC1,0.9900332225913622,0.9900332225913622
cDC2,0.9709263015551048,0.9656102494942683
dnT,0.7092436974789916,0.7364746945898778
gdT,0.8559622195985832,0.8729344729344729
pDC,0.9896193771626297,0.9919261822376009
