celltype,method,k,recovery
ASDC,spearman,1,0.0
ASDC,spearman,2,0.0
ASDC,spearman,3,0.0
ASDC,spearman,5,0.0
ASDC,spearman,8,0.0
ASDC,spearman,10,0.0
ASDC,spearman,15,0.0
ASDC,spearman,20,0.0
ASDC,spearman,30,0.0
ASDC,spearman,50,0.14285714285714285
ASDC,spearman,75,0.42857142857142855
ASDC,spearman,100,0.7142857142857143
ASDC,partial_corr,1,0.0
ASDC,partial_corr,2,0.0
ASDC,partial_corr,3,0.0
ASDC,partial_corr,5,0.0
ASDC,partial_corr,8,0.0
ASDC,partial_corr,10,0.14285714285714285
ASDC,partial_corr,15,0.14285714285714285
ASDC,partial_corr,20,0.14285714285714285
ASDC,partial_corr,30,0.2857142857142857
ASDC,partial_corr,50,0.2857142857142857
ASDC,partial_corr,75,0.2857142857142857
ASDC,partial_corr,100,0.2857142857142857
ASDC,mi_ksg,1,0.0
ASDC,mi_ksg,2,0.0
ASDC,mi_ksg,3,0.0
ASDC,mi_ksg,5,0.0
ASDC,mi_ksg,8,0.0
ASDC,mi_ksg,10,0.0
ASDC,mi_ksg,15,0.0
ASDC,mi_ksg,20,0.0
ASDC,mi_ksg,30,0.0
ASDC,mi_ksg,50,0.2857142857142857
ASDC,mi_ksg,75,0.42857142857142855
ASDC,mi_ksg,100,0.5714285714285714
ASDC,ig_mlp,1,0.0
ASDC,ig_mlp,2,0.0
ASDC,ig_mlp,3,0.0
ASDC,ig_mlp,5,0.0
ASDC,ig_mlp,8,0.0
ASDC,ig_mlp,10,0.0
ASDC,ig_mlp,15,0.0
ASDC,ig_mlp,20,0.0
ASDC,ig_mlp,30,0.14285714285714285
ASDC,ig_mlp,50,0.2857142857142857
ASDC,ig_mlp,75,0.2857142857142857
ASDC,ig_mlp,100,0.2857142857142857
B intermediate,spearman,1,0.0
B intermediate,spearman,2,0.0
B intermediate,spearman,3,0.0
B intermediate,spearman,5,0.0
B intermediate,spearman,8,0.0
