celltype,method,k,recovery
B,spearman,1,0.0
B,spearman,2,0.0
B,spearman,3,0.0
B,spearman,5,0.0
B,spearman,8,0.1
B,spearman,10,0.1
B,spearman,15,0.2
B,spearman,20,0.2
B,spearman,30,0.3
B,spearman,50,0.5
B,spearman,75,0.6
B,spearman,100,0.7
B,partial_corr,1,0.0
B,partial_corr,2,0.0
B,partial_corr,3,0.0
B,partial_corr,5,0.0
B,partial_corr,8,0.1
B,partial_corr,10,0.1
B,partial_corr,15,0.3
B,partial_corr,20,0.3
B,partial_corr,30,0.4
B,partial_corr,50,0.4
B,partial_corr,75,0.4
B,partial_corr,100,0.4
B,mi_ksg,1,0.0
B,mi_ksg,2,0.0
B,mi_ksg,3,0.0
B,mi_ksg,5,0.1
B,mi_ksg,8,0.1
B,mi_ksg,10,0.1
B,mi_ksg,15,0.3
B,mi_ksg,20,0.3
B,mi_ksg,30,0.4
B,mi_ksg,50,0.5
B,mi_ksg,75,0.7
B,mi_ksg,100,0.7
B,ig_mlp,1,0.0
B,ig_mlp,2,0.0
B,ig_mlp,3,0.0
B,ig_mlp,5,0.0
B,ig_mlp,8,0.1
B,ig_mlp,10,0.2
B,ig_mlp,15,0.2
B,ig_mlp,20,0.2
B,ig_mlp,30,0.3
B,ig_mlp,50,0.3
B,ig_mlp,75,0.6
B,ig_mlp,100,0.6
CD4 T,spearman,1,0.07692307692307693
CD4 T,spearman,2,0.15384615384615385
CD4 T,spearman,3,0.15384615384615385
CD4 T,spearman,5,0.15384615384615385
CD4 T,spearman,8,0.3076923076923077
CD4 T,spearman,10,0.38461538461538464
CD4 T,spearman,15,0.5384615384615384
CD4 T,spearman,20,0.6923076923076923
CD4 T,spearman,30,0.8461538461538461
CD4 T,spearman,50,0.9230769230769231
CD4 T,spearman,75,0.9230769230769231
CD4 T,spearman,100,0.9230769230769231
CD4 T,partial_corr,1,0.07692307692307693
CD4 T,partial_corr,2,0.07692307692307693
CD4 T,partial_corr,3,0.15384615384615385
CD4 T,partial_corr,5,0.3076923076923077
CD4 T,partial_corr,8,0.46153846153846156
CD4 T,partial_corr,10,0.46153846153846156
CD4 T,partial_corr,15,0.5384615384615384
CD4 T,partial_corr,20,0.6923076923076923
CD4 T,partial_corr,30,0.7692307692307693
CD4 T,partial_corr,50,0.9230769230769231
CD4 T,partial_corr,75,0.9230769230769231
CD4 T,partial_corr,100,0.9230769230769231
CD4 T,mi_ksg,1,0.07692307692307693
CD4 T,mi_ksg,2,0.15384615384615385
CD4 T,mi_ksg,3,0.23076923076923078
CD4 T,mi_ksg,5,0.3076923076923077
CD4 T,mi_ksg,8,0.3076923076923077
CD4 T,mi_ksg,10,0.38461538461538464
CD4 T,mi_ksg,15,0.38461538461538464
CD4 T,mi_ksg,20,0.38461538461538464
CD4 T,mi_ksg,30,0.46153846153846156
CD4 T,mi_ksg,50,0.5384615384615384
CD4 T,mi_ksg,75,0.6153846153846154
CD4 T,mi_ksg,100,0.6153846153846154
CD4 T,ig_mlp,1,0.07692307692307693
CD4 T,ig_mlp,2,0.15384615384615385
CD4 T,ig_mlp,3,0.23076923076923078
CD4 T,ig_mlp,5,0.3076923076923077
CD4 T,ig_mlp,8,0.38461538461538464
CD4 T,ig_mlp,10,0.46153846153846156
CD4 T,ig_mlp,15,0.5384615384615384
CD4 T,ig_mlp,20,0.6923076923076923
CD4 T,ig_mlp,30,0.7692307692307693
CD4 T,ig_mlp,50,0.9230769230769231
CD4 T,ig_mlp,75,0.9230769230769231
CD4 T,ig_mlp,100,0.9230769230769231
CD8 T,spearman,1,0.07692307692307693
CD8 T,spearman,2,0.15384615384615385
CD8 T,spearman,3,0.15384615384615385
CD8 T,spearman,5,0.3076923076923077
CD8 T,spearman,8,0.5384615384615384
CD8 T,spearman,10,0.6153846153846154
CD8 T,spearman,15,0.6153846153846154
CD8 T,spearman,20,0.6153846153846154
CD8 T,spearman,30,0.6923076923076923
CD8 T,spearman,50,0.8461538461538461
CD8 T,spearman,75,0.9230769230769231
CD8 T,spearman,100,1.0
CD8 T,partial_corr,1,0.07692307692307693
CD8 T,partial_corr,2,0.15384615384615385
CD8 T,partial_corr,3,0.15384615384615385
CD8 T,partial_corr,5,0.15384615384615385
CD8 T,partial_corr,8,0.23076923076923078
CD8 T,partial_corr,10,0.3076923076923077
CD8 T,partial_corr,15,0.46153846153846156
CD8 T,partial_corr,20,0.46153846153846156
CD8 T,partial_corr,30,0.5384615384615384
CD8 T,partial_corr,50,0.6153846153846154
CD8 T,partial_corr,75,0.6153846153846154
CD8 T,partial_corr,100,0.6923076923076923
CD8 T,mi_ksg,1,0.07692307692307693
CD8 T,mi_ksg,2,0.15384615384615385
CD8 T,mi_ksg,3,0.23076923076923078
CD8 T,mi_ksg,5,0.38461538461538464
CD8 T,mi_ksg,8,0.46153846153846156
CD8 T,mi_ksg,10,0.46153846153846156
CD8 T,mi_ksg,15,0.6153846153846154
CD8 T,mi_ksg,20,0.6153846153846154
CD8 T,mi_ksg,30,0.6153846153846154
CD8 T,mi_ksg,50,0.6153846153846154
CD8 T,mi_ksg,75,0.6153846153846154
CD8 T,mi_ksg,100,0.6923076923076923
CD8 T,ig_mlp,1,0.07692307692307693
CD8 T,ig_mlp,2,0.15384615384615385
CD8 T,ig_mlp,3,0.15384615384615385
CD8 T,ig_mlp,5,0.23076923076923078
CD8 T,ig_mlp,8,0.3076923076923077
CD8 T,ig_mlp,10,0.38461538461538464
CD8 T,ig_mlp,15,0.46153846153846156
CD8 T,ig_mlp,20,0.46153846153846156
CD8 T,ig_mlp,30,0.6923076923076923
